Title,Artist(s),Release Date,Genres,Length,Label,Songwriters,Producers
Another Brick in the Wall,Pink Floyd,30 November 1979,"Art rock, disco, protest song","8:28 (All three parts)
3:11 (Part 1)
3:59 (Part 2)
1:18 (Part 3)",", Harvest,  (UK), 
, Columbia,  (US),",Roger Waters,"Bob Ezrin, David Gilmour, James Guthrie, Roger Waters"
Another Day in Paradise,Phil Collins,23 October 1989[1],Soft rock,"4:47 (single version)
5:22 (album version)",", Atlantic, 
, Virgin, 
, WEA,",Phil Collins,"Phil Collins, Hugh Padgham"
Another One Bites the Dust,Queen,22 August 1980 (UK)[1],"Funk rock, [, 2, ], [, 3, ], disco, [, 4, ]",3:35,", EMI,  (UK), 
, Elektra,  (US),",John Deacon,"Queen, Reinhold Mack"
Anti-Hero (song),Taylor Swift,"October 21, 2022","Pop rock, synth-pop",3:20,Republic,"Taylor Swift, Jack Antonoff","Taylor Swift, Jack Antonoff"
Anything for You (Gloria Estefan and Miami Sound Machine song),"Gloria Estefan, Miami Sound Machine",March 1988,"Pop, [, 1, ]","4:02 (single/video version)[2]
3:41 (album version)[3]
4:02 (Spanish version)
4:03 (English/Spanish version)",", Epic, 
, CBS Discos International,",Gloria M. Estefan,Emilio Estefan Jr.
Aquarius/Let the Sunshine In,the 5th Dimension,March 1969,"Psychedelic soul, [, 1, ], sunshine pop, [, 1, ], bubblegum pop, [, 2, ]","4:49 (album version)
3:50 (promo single edit)",Soul City,,Bones Howe
Are You Lonesome Tonight?,,1927,Traditional pop,3:10,Harmony Records,"Lou Handman, Roy Turk",
Arthur's Theme (Best That You Can Do),Christopher Cross,"August 14, 1981","Pop, [, 1, ], jazz pop",3:53,Warner Bros.,"Christopher Cross, Burt Bacharach, Carole Bayer Sager, Peter Allen",Michael Omartian
As It Was,Harry Styles,1 April 2022 (2022-04-01),"Synth-pop, new wave",2:47,", Erskine, 
, Columbia,","Harry Styles, Thomas Hull, Tyler Johnson","Kid Harpoon, Tyler Johnson"
At This Moment,Billy Vera and the Beaters,1981 (rerelease 1986),Blue-eyed soul,4:21 (Album version)3:31 (Single version),"Alfa,  (1981 original release 3:31), Rhino,  (1986 reissue 4:21)",Billy Vera,Jeff Baxter
A Bar Song (Tipsy),Shaboozey,"April 12, 2024 (2024-04-12)","Country, [, 1, ]",2:53,", American Dogwood, 
, Magnolia, 
, Empire, 
, Republic,","Collins Chibueze, Nevin Sastry, Sean Cook, Jerrell Jones, Mark Williams","Nevin Sastry, Sean Cook"
A Big Hunk o' Love,Elvis Presley,"June 23, 1959 (1959-06-23)[1]","Rock and roll, [, 2, ], rockabilly, [, 2, ]",2:12,RCA Victor,"Aaron Schroeder, Sidney Wyche",Steve Sholes
A Fifth of Beethoven,Walter Murphy,1976,"Disco, [, 2, ], funk, [, 3, ], novelty, [, 3, ]",3:02,Private Stock,"Ludwig van Beethoven, Walter Murphy",Thomas J. Valentino
A Groovy Kind of Love,,1965,,2:02,Disques Vogue,,
A Hard Day's Night (song),the Beatles,"10 July 1964 (1964-07-10) (UK)
13 July 1964 (US)","Rock, [, 1, ]",2:34,", Parlophone,  (UK), 
, Capitol,  (US),",Lennon–McCartney,George Martin
A Horse with No Name,America,"November 12, 1971 (UK)
January 19, 1972 (US)","Folk rock, [, 1, ], [, 2, ], soft rock, [, 3, ], [, 4, ], country rock, [, 2, ]",4:08,Warner Bros.,Dewey Bunnell,Ian Samwell
A Moment Like This,Kelly Clarkson,"September 17, 2002 (2002-09-17)","Pop, [, 1, ]",3:49,", 19, 
, RCA,","Jörgen Elofsson, John Reid","Stephen Ferrera, Steve Mac"
A View to a Kill (song),Duran Duran,7 May 1985 (1985-05-07)[1],"Synth-pop, [, 2, ], new wave, [, 3, ]",3:37 (single version),", EMI, 
, Capitol,","Duran Duran, John Barry","Bernard Edwards, Jason Corsaro, Duran Duran"
A Whole New World,"Brad Kane, Lea Salonga","October 31, 1992 (1992-10-31)",Show tune,2:40 (soundtrack version),Walt Disney,,"Alan Menken, Tim Rice, Chris Montan"
A World Without Love,Peter and Gordon,28 February 1964[1],Pop,2:41,"Columbia, , , Capitol",Lennon–McCartney,Norman Newell
Babe (Styx song),Styx,"September 14, 1979","Soft rock, [, 1, ]",4:01 (single version)4:25 (album version),A&M,Dennis DeYoung,"Dennis DeYoung, John Panozzo, Chuck Panozzo"
Baby Baby (Amy Grant song),Amy Grant,"January 18, 1991 (1991-01-18)","Pop, pop rock, [, 1, ]",3:57,A&M,"Keith Thomas, Amy Grant",Keith Thomas
Baby Boy (Beyoncé song),"Beyoncé, Sean Paul","August 3, 2003 (2003-08-03)","Dancehall, R&B",4:04,", Columbia, 
, Music World,",,"Beyoncé, Scott Storch"
Baby Come Back (Player song),Player,"October 13, 1977 (1977-10-13)","Soft rock, [, 1, ], [, 2, ], blue-eyed soul, [, 3, ], [, 4, ]","3:28 (single version)
4:15 (album version)",", RSO,  (UK & Nor. Am.), 
, Philips,  (intl.),","Peter Beckett, J.C. Crowley","Dennis Lambert, Brian Potter"
Baby Don't Forget My Number,Milli Vanilli,December 1988,"Dance-pop, [, 1, ]","4:10 (album version)
4:00 (single version)
4:28 (video version)",", Hansa, 
, Arista,","Frank Farian, Brad Howell",Frank Farian
Baby Don't Get Hooked on Me,Mac Davis,July 1972 (US),"Country pop, [, 1, ]",3:06,Columbia,Mac Davis,Rick Hall
Baby Got Back,Sir Mix-a-Lot,"May 7, 1992 (1992-05-07)",Miami bass,4:21,"Def American, Reprise",Sir Mix-a-Lot,"Rick Rubin, [, a, ], Sir Mix-a-Lot"
Baby Love,the Supremes,"September 17, 1964","Pop, rhythm and blues",2:34,Motown,"Holland–Dozier–Holland, [, 1, ]","Brian Holland, Lamont Dozier"
"Baby, Come to Me (Patti Austin and James Ingram song)","Patti Austin, James Ingram",April 1982October 1982 (re-released),"Quiet storm, [, 1, ], R&B, soft rock","3:31 (7"" single)  3:45 (LP version)",Qwest,Rod Temperton,Quincy Jones
"Baby, I Love Your Way/Freebird Medley",Will to Power,August 1988,"Freestyle, [, 1, ]",4:07,Epic,"Peter Frampton, Allen Collins, Ronnie Van Zant",Bob Rosenberg
Back in My Arms Again,the Supremes,"April 15, 1965","Pop, rhythm and blues",2:52,Motown,Holland–Dozier–Holland,"Brian Holland, Lamont Dozier"
Bad and Boujee,"Migos, Lil Uzi Vert","October 28, 2016","Hip hop, trap","5:34 (single and video version)
5:43 (album version)
3:27 (radio edit)",", Quality Control, 
, 300, 
, Atlantic,","Quavious Keyate Marshall, Kiari Kendrell Cephus, Robert Mandell, Symere Bysil Woods, Leland Tyler Wayne","Metro Boomin, G Koop"
Bad Blood (Neil Sedaka song),Neil Sedaka,September 1975,"Rock, [, 1, ]",3:09,"Rocket, /, MCA,  (US), Polydor,  (UK)","Neil Sedaka, Phil Cody",Neil Sedaka
Bad Blood (Taylor Swift song),"Taylor Swift, Kendrick Lamar","May 17, 2015",Pop,3:313:19 (remix),Big Machine,"Taylor Swift, Max Martin, Shellback, Kendrick Lamar, [, a, ]","Max Martin, Shellback, Ilya, [, a, ]"
Bad Day (Daniel Powter song),Daniel Powter,"January 9, 2005 (2005-01-09)[a]","Pop, pop rock",3:55,Warner Bros.,Daniel Powter,"Mitchell Froom, Jeff Dawson"
Bad Girls (Donna Summer song),Donna Summer,"June 23, 1979 (1979-06-23)","Disco, rock, [, 1, ], funk, [, 2, ]",4:55,Casablanca,"Donna Summer, Bruce Sudano, Joe ""Bean"" Esposito, Edward ""Eddie"" Hokenson","Giorgio Moroder, Pete Bellotte"
Bad Guy (Billie Eilish song),Billie Eilish,"March 29, 2019 (2019-03-29)","Electropop, dance-pop, trap-pop",3:14,"Darkroom, Interscope","Billie Eilish, Finneas O'Connell",Finneas O'Connell
Bad Habit (Steve Lacy song),Steve Lacy,"June 29, 2022 (2022-06-29)","R&B, bedroom pop, funk",3:52 (album version)2:45 (radio version),RCA,"Steve Lacy, Diana Gordon, John Kirby, Britanny Fousheé, Matthew Castellanos",Steve Lacy
Bad Medicine (song),Bon Jovi,"September 12, 1988 (1988-09-12)","Glam metal, [, 1, ], [, 2, ], [, 3, ]","5:16 (album version)
3:54 (single version)",Mercury,"Jon Bon Jovi, Richie Sambora, Desmond Child",Bruce Fairbairn
"Bad, Bad Leroy Brown",Jim Croce,"March 20, 1973","Boogie-woogie, [, 1, ]",3:02,"ABC, Vertigo,  (international)",Jim Croce,"Terry Cashman, Tommy West"
Bad (Michael Jackson song),Michael Jackson,"September 7, 1987","Dance-pop, funk","4:07 (album version)
8:22 (extended dance mix)",Epic,Michael Jackson,"Quincy Jones, Michael Jackson (, co., )"
Bailamos,Enrique Iglesias,18 June 1999 (1999-06-18) (Japan),Latin pop,3:38,", Fonovisa, 
, Universal,","Paul Barry, Mark Taylor","Mark Taylor, Brian Rawling"
Band on the Run (song),Paul McCartney and Wings,1974,Rock,5:09 (album version)3:50 (radio edit),Apple,"Paul McCartney, Linda McCartney",Paul McCartney
Batdance,Prince,"June 8, 1989[1]","Rock, funk, dance","4:06 (7-inch edit)
6:13 (album and 12-inch version)",Warner Bros.,Prince,Prince
Beat It,Michael Jackson,"February 14, 1983","Hard rock, [, 2, ], [, 3, ], dance-rock, [, 4, ], [, 5, ]",4:18,Epic,Michael Jackson,"Quincy Jones, Michael Jackson"
Beautiful Girls (Sean Kingston song),Sean Kingston,"May 26, 2007 (2007-05-26)","Pop, [, 1, ], doo-wop, reggae, [, 2, ]",4:02 (album version)3:43 (radio edit),Epic,"Kisean Anderson, Johnathan Rotem, Jerome Leiber, Michael Stoller, Ben E. King, Peter Harrison","J. R. Rotem, Peter Harrison"
Because I Love You (The Postman Song),Stevie B,"September 1, 1990","Pop, [, 1, ]","5:05 (album version)
3:46 (radio edit)",", LMR, 
, RCA,",Warren Allen Brooks,Stevie B
Because You Loved Me,Celine Dion,19 February 1996 (1996-02-19),Pop,4:33,", Columbia, 
, Epic,",Diane Warren,David Foster
Before the Next Teardrop Falls (song),Freddy Fender,January 1975,"Country pop, Tejano",2:33,", Crazy Cajun,  , 2002, 
, ABC-Dot,  , 17540,","Vivian Keith, Ben Peters",Huey P. Meaux
Believe (Cher song),Cher,"October 19, 1998 (1998-10-19)","Eurodance, dance-pop, electropop, dance",3:59,Warner Bros.,"Brian Higgins, Stuart McLennen, Paul Barry, Steven Torch, Matthew Gray, Timothy Powell, Cher (uncredited)","Mark Taylor, Brian Rawling"
Bennie and the Jets,Elton John,4 February 1974,"Glam rock, [, 1, ], R&B, [, 2, ]",5:23,", MCA, 
, DJM,","Elton John, Bernie Taupin",Gus Dudgeon
Bent (song),Matchbox Twenty,"April 17, 2000 (2000-04-17)","Rock, [, 1, ]",4:16,", Atlantic, 
, Lava, 
, Melisma,",Rob Thomas,Matt Serletic
Ben (song),Michael Jackson,"July 12, 1972","Pop, adult contemporary",2:44,Motown,"Don Black, Walter Scharf",The Corporation
Best of My Love (Eagles song),Eagles,"November 5, 1974","Soft rock, [, 1, ], country rock, [, 2, ]",3:25 (single edit)4:34 (album version),Asylum,"Don Henley, Glenn Frey, JD Souther",Glyn Johns
Best of My Love (The Emotions song),the Emotions,"June 9, 1977 (1977-06-09)","Disco, [, 1, ], gospel, [, 2, ], soul, [, 2, ]",3:42,Columbia,"Maurice White, Al McKay","Maurice White, Clarence McDonald"
Bette Davis Eyes,Kim Carnes,"March 10, 1981","New wave, [, 1, ], [, 2, ], soft rock, [, 3, ], [, 4, ], synth-rock, [, 5, ]",3:48,EMI America,"Donna Weiss, ·, Jackie DeShannon",Val Garay
Be with You (Enrique Iglesias song),Enrique Iglesias,29 February 2000 (2000-02-29),"Dance-pop, house",3:40,Interscope,"Enrique Iglesias, Paul Barry, Mark Taylor","Mark Taylor, Brian Rawling"
Big Bad John,Jimmy Dean,September 1961,"Country, talking blues",3:00,Columbia,Jimmy Dean,Don Law
Big Girls Don't Cry (Fergie song),Fergie,"May 22, 2007 (2007-05-22)",Pop,4:28,", A&M, 
, will.i.am, 
, Interscope,","Stacy Ferguson, Toby Gad",will.i.am
Big Girls Don't Cry (The Four Seasons song),The Four Seasons,October 1962[1],"Rock and roll, [, 3, ], pop, [, 4, ], doo-wop, [, 5, ]",2:26,Vee-Jay,"Bob Crewe, Bob Gaudio",Bob Crewe
Billie Jean,Michael Jackson,"January 3, 1983","Post-disco, R&B, funk, dance-pop","4:57 (original album/European single version)[2]
4:52 (album reissue/US single version with early fade out)
6:21 (12-inch version)",Epic,Michael Jackson,"Quincy Jones, Michael Jackson"
"Bills, Bills, Bills",Destiny's Child,"May 31, 1999 (1999-05-31)",R&B,4:15 (album version)3:58 (radio edit),Columbia,"Kevin Briggs, Kandi Burruss, Beyoncé Knowles, LeToya Luckett, Kelly Rowland","Kevin ""She'kspere"" Briggs"
Billy Don't Be a Hero,Paper Lace,April 1974,Pop,3:59 (album version)3:45 (radio edit),Mercury,"Mitch Murray, Peter Callander","Mitch Murray, Peter Callander"
Black and White (Pete Seeger song),Three Dog Night,August 1972,Pop,3:51 (album)3:24 (single),Dunhill,"David I. Arkin, Earl Robinson",Richard Podolor
Black and Yellow,Wiz Khalifa,"September 14, 2010","Hip hop, [, 1, ]",3:37,", Rostrum, 
, Atlantic,","Cameron Thomaz, Mikkel S. Eriksen, Tor Erik Hermansen",Stargate
Black Beatles,"Rae Sremmurd, Gucci Mane",2016,"Hip hop, trap",4:51[1],"EarDrummers, Interscope","Khalif Brown, Aaquil Brown, Radric Davis, Michael Williams",Mike WiLL Made It
Black Cat (song),Janet Jackson,"August 28, 1990 (1990-08-28)[1]","Hard rock, pop rock, [, 5, ], dance-rock, glam metal",4:50,A&M,Janet Jackson,"Jellybean Johnson, Janet Jackson"
Black or White,Michael Jackson,"November 11, 1991 (1991-11-11)","Pop rock, hip hop","4:16 (album version)
3:22 (single version)",Epic,"Michael Jackson, Bill Bottrell","Michael Jackson, Bill Bottrell"
Black Velvet (song),Alannah Myles,July 1989 (Canada)December 1989 (U.S)[1],"Country rock, [, 2, ], [, 3, ], blues rock, [, 4, ], [, 5, ]",4:47 (album version)4:02 (single version),Atlantic,"David Tyson, Christopher Ward",David Tyson
Black Water (song),the Doobie Brothers,"November 15, 1974","Roots rock, country rock, Southern rock, bluegrass, [, 1, ]",4:15,Warner Bros.,Patrick Simmons,Ted Templeman
Blame It on the Rain,Milli Vanilli,July 1989,"Dance-pop, [, 1, ]","4:19 (album version)
4:08 (single version)",", Hansa, 
, Arista,",Diane Warren,Frank Farian
Blank Space,Taylor Swift,"November 10, 2014 (2014-11-10)",Electropop,3:52,Big Machine,"Taylor Swift, Max Martin, Shellback","Max Martin, Shellback"
Blaze of Glory (Jon Bon Jovi song),Jon Bon Jovi,"July 21, 1990","Hard rock, [, 1, ], country rock, [, 2, ]","5:35
4:24 (edit)",Vertigo,Jon Bon Jovi,"Danny Kortchmar, Jon Bon Jovi"
Bleeding Love,Leona Lewis,16 September 2007 (2007-09-16) (see release history),"Pop, R&B",4:22,", Syco Music, 
, J,","Jesse McCartney, Ryan Tedder",Ryan Tedder
Blinded by the Light,Bruce Springsteen,February 1973 (1973-02),"Folk rock, [, 1, ], boogie rock, [, 2, ], R&B, [, 2, ]",5:06,Columbia,Bruce Springsteen,"Mike Appel, Jim Cretecos"
Blinding Lights,the Weeknd,"November 29, 2019 (2019-11-29)","Synth-pop, [, 1, ], electropop, [, 2, ], new wave, [, 3, ], synthwave, [, 4, ]",3:22,", XO, 
, Republic,","Abel Tesfaye, Ahmad Balshe, Jason Quenneville, Max Martin, Oscar Holter","Max Martin, Oscar Holter, The Weeknd"
Blue Moon (1934 song),,,,,,,
Blue Velvet (song),Tony Bennett,"September 21, 1951",Traditional pop,3:01,Columbia,"Bernie Wayne, Lee Morris",
Blurred Lines,"Robin Thicke, T.I., Pharrell","March 27, 2013","R&B, pop, funk, [, 1, ], hip hop, [, 1, ], blue-eyed soul, [, 2, ]",4:25,", Star Trak, 
, Interscope,","Robin Thicke, Pharrell Williams, Clifford Harris Jr., Marvin Gaye, [, a, ]",Pharrell Williams
Bodak Yellow,Cardi B,"June 16, 2017 (2017-06-16)","Hip hop, [, 1, ], trap, [, 2, ]",3:43[3],", Atlantic, 
, KSR,","Belcalis Almánzar, Dieuson Octave, Klenord Raphael, Jorden Thorpe, Anthony White, Laquan Green","J. White Did It, Laquan Green"
Boogie Fever,the Sylvers,November 1975,"Disco, pop-soul, [, 1, ], bubblegum pop, [, 1, ]",3:31,Capitol,"Freddie Perren, Kenneth St. Lewis",Freddie Perren
Boogie Oogie Oogie,A Taste of Honey,1978,"Disco, funk",5:37,Capitol,"Janice-Marie Johnson, Perry Kibble","Fonce Mizell, Larry Mizell"
Boom Boom Pow,Black Eyed Peas,"February 22, 2009 (2009-02-22)","EDM, [, 1, ], hip hop, [, 2, ], electro, [, 2, ]","5:08 (album version)
4:12 (single version)
3:38 (radio edit)",Interscope,"William Adams, Allan Pineda, Jaime Gomez, Stacy Ferguson",will.i.am
Bootylicious,Destiny's Child,"May 22, 2001 (2001-05-22)","R&B, pop, funk",3:28,Columbia,"Charlie Skilling, Beyoncé Knowles, Falonte Moore, Stevie Nicks","Rob Fusari, Beyoncé Knowles, Falonte Moore"
Born This Way (song),Lady Gaga,"February 11, 2011 (2011-02-11)","Electropop, house",4:20,", Streamline, 
, KonLive, 
, Interscope,","Stefani Germanotta, Jeppe Laursen","Lady Gaga, Fernando Garibay, Jeppe Laursen, DJ White Shadow"
Brandy (Scott English song),Scott English,February 1972,"Folk rock, [, 1, ], pop, [, 1, ]",,", Trojan, , , Horse, , , Fontana,  (UK), 
, Janus,  (US),","Scott English, Richard Kerr",
Brandy (You're a Fine Girl),Looking Glass,"May 18, 1972","Soft rock, [, 1, ], pop, [, 2, ]","3:10 (album mix version)
2:55 (single remix/edit)",Epic,Elliot Lurie,"Mike Gershman, Bob Liftin and the Looking Glass"
