Title,Artist(s),Release Date,Genres,Length,Label,Songwriters,Producers,Lyricist(s),Composer(s)
Night Fever,Bee Gees,January 1978,Disco,3:32,RSO,"Barry Gibb
Robin Gibb
Maurice Gibb","Bee Gees
Albhy Galuten
Karl Richardson",,
Tha Crossroads,Bone Thugs-n-Harmony,"April 23, 1996",Hip hop,3:44,Ruthless,"Bone
Tim Middleton
Tony-C",Tim Middleton,,
Forever Your Girl (song),Paula Abdul,"February 20, 1989","Dance-pop
new jack swing",4:58,Virgin,Oliver Leiber,Oliver Leiber,,
Black Water (song),the Doobie Brothers,"November 15, 1974","Roots rock
country rock
Southern rock
bluegrass",4:15,Warner Bros.,Patrick Simmons,Ted Templeman,,
Baby Love,the Supremes,"September 17, 1964",Poprhythm and blues,2:34,Motown,Holland–Dozier–Holland[1],Brian HollandLamont Dozier,,
Doesn't Really Matter,Janet Jackson,"May 23, 2000","Electropop
R&B
dance",4:18,"Def Jam
Virgin","Janet Jackson
James Harris III
Terry Lewis","Jimmy Jam and Terry Lewis
Janet Jackson",,
Un-Break My Heart,Toni Braxton,"October 7, 1996","Pop
R&B",4:30,LaFace,Diane Warren,David Foster,,
She Loves You,the Beatles,"23 August 1963  
16 September 1963","Rock and roll, pop, rock",2:18,"Parlophone , Swan",Lennon–McCartney,George Martin,,
He's a Rebel,the Crystals,August 1962,Pop,2:31,Philles106,Gene Pitney,Phil Spector,,
The Streak (song),Ray Stevens,February 1974,Countrynoveltycomedy,3:18,Barnaby,Ray Stevens,Ray Stevens,,
I Gotta Feeling,the Black Eyed Peas,"June 15, 2009",Dance-pop,4:49,Interscope,William AdamsStacy FergusonJaime GomezDavid GuettaAllan PinedaFrédéric Riesterer,David GuettaFrédéric Riesterer,,
Hot Child in the City,Nick Gilder,"June 12, 1978","Rock
power pop",3:09,Chrysalis,"Nick Gilder, James McCulloch",Mike Chapman,,
The Ballad of the Green Berets,Barry Sadler,January 1966,Countryfolkpopmarch,2:27,RCA Victor,Robin MooreStaff Sgt. Barry Sadler,Andy Wiswell[2],,
Family Affair (Mary J. Blige song),Mary J. Blige,"July 24, 2001","Dance
hip hop
R&B",4:04,MCA,"Mary J. Blige
Bruce Miller
Andre Young
Camara Kambon
Michael Elizondo",Dr. Dre,,
I'll Be There (Jackson 5 song),The Jackson 5,"August 28, 1970",Soul,3:57,Motown,Berry GordyBob WestWillie HutchHal Davis,Hal Davis,,
Evergreen (Love Theme from A Star Is Born),Barbra Streisand,December 1976,Vocal pop,3:04,Columbia,Barbra StreisandPaul Williams[2],Barbra StreisandPhil Ramone,,
All for You (Janet Jackson song),Janet Jackson,"March 6, 2001","Dance-pop
R&B",6:31,Virgin,"Janet Jackson
James Harris III
Terry Lewis
Wayne Garfield
David Romani
Mauro Malavasi","Janet Jackson
Jimmy Jam
Terry Lewis",,
Another Brick in the Wall,Pink Floyd,30 November 1979,"Art rock
disco
protest song",8:28,"Harvest 
Columbia",Roger Waters,"Bob Ezrin
David Gilmour
James Guthrie
Roger Waters",,
I Wish (Stevie Wonder song),Stevie Wonder,November 1976,"Funk
soul
pop",4:12,Tamla,Stevie Wonder,Stevie Wonder,,
Big Girls Don't Cry (Fergie song),Fergie,"May 22, 2007",Pop,4:28,"A&M
will.i.am
Interscope","Stacy Ferguson
Toby Gad",will.i.am,,
Lean on Me (song),Bill Withers,"April 21, 1972","Soul
gospel",3:45,Sussex,Bill Withers,Bill Withers,,
Whistle (Flo Rida song),Flo Rida,"April 24, 2012","Electropop
hip house",3:45,"Poe Boy
Atlantic","Tramar Dillard
David Glass
Marcus Killian
Justin Franks
Breyan Isaac
Antonio Mobley","DJ Frank E
Glass",,
Amanda (Boston song),Boston,September 1986,Rock,,MCA,Tom Scholz,Tom Scholz,,
Way 2 Sexy,"Drake, Future, Young Thug","September 3, 2021",Comedy raptrap,4:18,"Republic
OVO","Aubrey Graham
Nayvadius Wilburn
Jeffery Williams
Bryan Simmons
Lesidney Ragland
Fred Fairbrass
Richard Fairbrass
Robert Manzoli","TM88
Too Dope",,
"Hello, I Love You",the Doors,"June 11, 1968  by Nipper Music Co., Inc.","Rock
pop
pop rock",2:13,Elektra,The Doors[1],Paul A. Rothchild,,
Someday We'll Be Together,,November 1961,"Doo-wop, rhythm and blues",3:34,Tri-Phi1005,Johnny Bristol  Jackey Beavers  Harvey Fuqua,Harvey Fuqua,,
Together Forever (Rick Astley song),Rick Astley,15 February 1988,Dance-pop,3:24,"RCA
BMG",Stock Aitken Waterman,Stock Aitken Waterman,,
You Give Love a Bad Name,Bon Jovi,"July 23, 1986","Glam metal
hard rock",3:42,Mercury,"Desmond Child
Jon Bon Jovi
Richie Sambora",Bruce Fairbairn,,
Another Brick in the Wall,Pink Floyd,30 November 1979,"Art rock
disco
protest song",8:28,"Harvest 
Columbia",Roger Waters,"Bob Ezrin
David Gilmour
James Guthrie
Roger Waters",,
Tom Dooley (song),The Kingston Trio,,Folk,,,Thomas Land,,,
Crazy for You (Madonna song),Madonna,"March 2, 1985",Pop,4:08,"Geffen
CBS","John Bettis
Jon Lind","John ""Jellybean"" Benitez",,
Honey (Mariah Carey song),Mariah Carey,"July 29, 1997","R&B
pop
hip hop",5:00,Columbia,,"Sean ""Puffy"" Combs
The Ummah
Stevie J
Mariah Carey",Mariah Carey,"Mariah Carey
Sean Combs
Kamaal Fareed
Steven Jordan
Stephen Hague
Bobby Robinson
Ronald Larkins
Larry Price
Malcolm McLaren"
"Don't Worry, Be Happy",Bobby McFerrin,"July 24, 1988","Reggae
jazz
pop",4:54,EMI-Manhattan[1],Bobby McFerrin[1],Linda Goldstein[1],,
Na Na Hey Hey Kiss Him Goodbye,Steam,November 1969,Pop,4:08,Fontana F 1667,"Paul Leka, Gary DeCarlo, Dale Frashuer",Paul Leka,,
I Adore Mi Amor,Color Me Badd,"July 11, 1991",R&B,4:49,Giant,"Hamza Lee, Color Me Badd","Hamza Lee, Royal Bayyan",,
Mr. Lonely (Bobby Vinton song),Bobby Vinton,16 October 1964,Pop,2:40,Epic,"Bobby Vinton, Gene Allan",Bob MorganArranged and conducted by Robert Mersey,,
Circles (Post Malone song),Post Malone,"August 30, 2019",Soft rock,3:35,Republic,Austin PostLouis BellAdam FeeneyKaan GunesberkBilly Walsh,Post MaloneLouis BellFrank Dukes,,
My Love (Petula Clark song),Petula Clark,December 1965,Pop,2:43,Pye 7N 17038 Warner Bros. 5684 Vogue STU 42234,Tony Hatch,Tony Hatch,,
Uptown Funk,"Mark Ronson, Bruno Mars",10 November 2014,"Funk-pop
soul
boogie
disco-pop
Minneapolis sound",4:30,"Columbia
Sony
RCA","Mark Ronson
Bruno Mars
Philip Lawrence
Jeff Bhasker
Nicholas Williams
Devon Gallaspy
Charles Wilson
Robert Wilson
Ronnie Wilson
Rudolph Taylor
Lonnie Simmons","Mark Ronson
Jeff Bhasker
Bruno Mars",,
Mony Mony,Tommy James and the Shondells,March 1968,"Garage rock
rock and roll
R&B",2:45,Roulette,"Tommy James
Bo Gentry
Ritchie Cordell
Bobby Bloom[4]","Bo Gentry, Ritchie Cordell[4]",,
Come See About Me,the Supremes,"October 27, 1964","Pop, R&B",2:39,Motown,Holland–Dozier–Holland,Brian HollandLamont Dozier,,
Wrecking Ball (Miley Cyrus song),Miley Cyrus,"August 25, 2013",Pop,3:41,RCA,Maureen McDonaldStephan MoccioWallace SkarbekDavid KimLukasz GottwaldHenry Walter,Dr. LukeCirkut,,
Ice Ice Baby,Vanilla Ice,"August 22, 1990",Hip hop,3:46,SBK,"Robert Van Winkle
Mario Johnson[1]
Brian May
David Bowie
Freddie Mercury
John Deacon
Roger Taylor",Vanilla Ice,,
Sad!,XXXTentacion,"March 2, 2018",Emo rappop rapalternative R&B,2:46,Bad Vibes ForeverCaroline,Jahseh OnfroyJohn Cunningham,John Cunningham,,
Unholy (Sam Smith and Kim Petras song),"Sam Smith, Kim Petras","September 22, 2022","Electropop
synth-pop
dance-pop
EDM",2:36,"Capitol
EMI","Sam Smith
Kim Petras
James Napier
Ilya Salmanzadeh
Henry Walter
Blake Slatkin
Omer Fedi","Sam Smith
Kim Petras
Ilya
Cirkut
Slatkin
Fedi
Jimmy Napes",,
Touch Me in the Morning (song),Diana Ross,"May 3, 1973","Pop, adult contemporary",3:26,Motown,"Ron Miller, Michael Masser","Michael Masser, Tom Baird",,
Missing You (John Waite song),John Waite,June 1984,"Soft rock
white soul",3:56,EMI America,"John Waite, Mark Leonard, Charles Sandford","John Waite, David Thoener, Gary Gersh",,
When a Man Loves a Woman (song),Percy Sledge,March 1966,"Soul
Southern soul",2:51,Atlantic,"Calvin Lewis, Andrew Wright","Marlin Greene, Quin Ivy",,
Heaven (Bryan Adams song),Bryan Adams,"April 9, 1985",Power pop,4:03,A&M,"Bryan Adams
Jim Vallance","Bob Clearmountain
Bryan Adams",,
If You Don't Know Me by Now,Harold Melvin & the Blue Notes,"September 11, 1972","Philadelphia soul
R&B",3:27,Philadelphia International Records,"Kenny Gamble, Leon Huff","Kenny Gamble, Leon Huff",,
Paint It Black,the Rolling Stones,"7 May 1966  
13 May 1966","Raga rock
psychedelic rock",3:46,"Decca 
London",Jagger–Richards,Andrew Loog Oldham,,
Crazy Little Thing Called Love,Queen,"12 October 1979 
7 December 1979","Rock and roll
rockabilly",2:42,"EMI 
Elektra",Freddie Mercury,QueenReinhold Mack,,
WAP (song),"Cardi B, Megan Thee Stallion","August 7, 2020",Hip hopdirty raptrap,3:07,Atlantic,"Belcalis Almanzar
Megan Pete
Austin Owens
James Foye III
Frank Rodriguez
Jorden Thorpe","Ayo the Producer
Keyz",,
Always (Atlantic Starr song),Atlantic Starr,May 1987,R&Bpop,3:59,Warner Bros.,David LewisJonathan LewisWayne Lewis,David LewisWayne Lewis,,
As It Was,Harry Styles,1 April 2022,"Synth-pop
new wave",2:47,"Erskine
Columbia","Harry Styles
Thomas Hull
Tyler Johnson","Kid Harpoon
Tyler Johnson",,
Up (Cardi B song),Cardi B,"February 5, 2021",Hip-hoptrappop-rap,2:36,Atlantic,"Joshua Baker
Jorden Thorpe
Edis Selmani
CEO Mark Savage
James Steed
Matthew Allen","Yung Dza
DJ SwanQo
Sean Island
DJ Prince",,
I Can't Stop Loving You,Don Gibson,December 1957,Country,2:37,RCA Victor,Don Gibson,Chet Atkins,,
Shadow Dancing (song),Andy Gibb,April 1978,Disco,3:57,RSO Records,"Barry, Robin & Maurice Gibb; Andy Gibb",Gibb-Galuten-Richardson,,
Baby Boy (Beyoncé song),"Beyoncé, Sean Paul","August 3, 2003","Dancehall
R&B",4:04,"Columbia
Music World",,"Beyoncé
Scott Storch","Knowles
Storch
Sean Paul Henriques
Robert Waller
Shawn Carter","Beyoncé Knowles
Scott Storch"
I Think We're Alone Now,Tommy James and the Shondells,January 1967,Pop rockbubblegum popgarage rock,2:08,Roulette,Ritchie Cordell,Ritchie Cordell,,
Want Ads,Honey Cone,March 1971,"R&B, soul, funk",3:50,Hot Wax,"Greg Perry, Barney Perkins, and General Norman Johnson",Greg Perry,,
(You're My) Soul and Inspiration,the Righteous Brothers,"February 26, 1966","Pop, blue-eyed soul",3:00,Verve,"Barry Mann, Cynthia Weil",Bill Medley,,
You Light Up My Life (song),Kasey Cisyk,"August 16, 1977",Pop,3:29,Arista,Joe Brooks[1],Joe Brooks,,
Maniac (Michael Sembello song),Michael Sembello,May 1983,"Synth-pop
dance-pop",5:57,"Warner Bros.
Casablanca","Dennis Matkosky
Michael Sembello","Phil Ramone
Michael Sembello",,
Shake Ya Tailfeather,"Nelly, P. Diddy, Murphy Lee","June 29, 2003",Hip hop,4:53,Bad BoyUniversal,"Cornell Haynes, Tohri Harper, Sean Combs, Varick Smith, Basement Beats, Adonis Shropshire","Nelly & Jayson ""Koko"" Bridges",,
"Mrs. Brown, You've Got a Lovely Daughter",Herman's Hermits,April 1965,"Beat
pop
music hall",2:45,MGM,Trevor Peacock,Mickie Most,,
Delta Dawn,,1971,"Country, folk rock",4:02,Capitol,Larry CollinsAlex Harvey,Michael Sunday,,
Roar (song),Katy Perry,"August 10, 2013",Power pop,3:43,Capitol,Katy PerryLukasz GottwaldMax MartinBonnie McKeeHenry Walter,Dr. LukeMax MartinCirkut,,
Crocodile Rock,Elton John,27 October 1972 20 November 1972,Rock and rollglam rockpop rock,3:23,DJM MCA,"Elton John
Bernie Taupin",Gus Dudgeon,,
Blank Space,Taylor Swift,"November 10, 2014",Electropop,3:52,Big Machine,"Taylor Swift
Max Martin
Shellback","Max Martin
Shellback",,
Song Sung Blue,Neil Diamond,May 1972,Pop,3:15,Uni,Neil Diamond,Tom Catalano,,
Bent (song),Matchbox Twenty,"April 17, 2000",Rock,4:16,"Atlantic
Lava
Melisma",Rob Thomas,Matt Serletic,,
Sorry (Justin Bieber song),Justin Bieber,"October 22, 2015",Dancehall poptropical housemoombahton,3:20,Def Jam,Justin BieberMichael TuckerSonny MooreJustin TranterJulia Michaels,BloodPopSkrillex,,
My Life Would Suck Without You,Kelly Clarkson,"January 13, 2009",Poppower poppop rock,3:31,RCA,Max MartinLukasz GottwaldClaude KellyKelly Clarkson (uncredited)[1],MartinDr. Luke,,
Everybody Wants to Rule the World,Tears for Fears,22 March 1985,New wavesynth-popdance-rock,4:12,PhonogramMercuryVertigo,Roland OrzabalIan StanleyChris Hughes,Chris Hughes,,
My All,Mariah Carey,"April 21, 1998",Latin popR&B,3:51,Columbia,,Mariah CareyWalter Afanasieff,Mariah Carey,Mariah CareyWalter Afanasieff
Vogue (Madonna song),Madonna,"March 20, 1990",House,4:21,"Sire
Warner Bros.","Madonna
Shep Pettibone","Madonna
Shep Pettibone",,
Not Afraid,Eminem,"April 27, 2010",Hip hop,4:10,AftermathShadyInterscope,Marshall MathersDrake CooperLuis RestoMatthew SamuelsJordan EvansMatthew Burnett,Boi-1daJordan Evans (add.)Matthew Burnett (add.)Eminem (add.),,
Goodies (song),"Ciara, Petey Pablo","June 8, 2004",Crunk&B,3:43,LaFaceSho'nuff,"Ciara HarrisSean GarrettLaMarquis JeffersonCraig LoveZachary WallaceJonathan ""Lil Jon"" Smith",Lil Jon,,
Maggie May,Rod Stewart,July 1971,Folk rocksoft rock,5:14,Mercury,"Rod Stewart, Martin Quittenton",Rod Stewart,,
Opposites Attract,Paula Abdul,"November 17, 1989","Minneapolis funk
new jack swing
R&B",3:45,Virgin,Oliver Leiber,Oliver Leiber,,
Leader of the Pack,the Shangri-Las,20 September 1964,"Pop
rock and roll",2:49,Red Bird,"George ""Shadow"" MortonJeff BarryEllie Greenwich","George ""Shadow"" Morton",,
Honky Tonk Women,the Rolling Stones,4 July 1969,"Hard rock
rock and roll",3:03,"Decca 
London",Jagger–Richards,Jimmy Miller,,
So Emotional,Whitney Houston,"October 12, 1987","Dance-pop
rock
R&B",4:36,Arista,"Billy Steinberg
Tom Kelly",Narada Michael Walden,,
All You Need Is Love,the Beatles,7 July 1967,"Pop, psychedelia",3:57,"Parlophone, Capitol",Lennon–McCartney,George Martin,,
I'll Be Loving You (Forever),New Kids on the Block,"April 10, 1989",PopR&Bblue-eyed soul,3:57,Columbia,Maurice Starr,Maurice Starr,,
Not Like Us,Kendrick Lamar,"May 4, 2024",West Coast hip-hop,4:33,Interscope,,"Mustard
Sounwave
Sean Momberger",Kendrick Duckworth,"Sean Momberger
Ray Charles"
You're No Good,Dee Dee Warwick,1963,R&B,2:30,Jubilee,Clint Ballard Jr.,Jerry Leiber and Mike Stoller,,
The Letter (Box Tops song),the Box Tops,August 1967,"Pop rock, blue-eyed soul",1:58,Mala,Wayne Carson,Dan Penn,,
Creep (TLC song),TLC,"October 13, 1994",R&B,4:29,"LaFace
Arista",Dallas Austin,Dallas Austin,,
Little Star (The Elegants song),The Elegants,1958,"Doo-wop
pop",2:42,Apt,"Vito Picone, Arthur Venosa",,,
Gangsta's Paradise,"Coolio, L.V.","August 1, 1995","West Coast hip hop
pop rap
gangsta rap
G-funk",4:04,"Tommy Boy
Warner Bros.
MCA","Artis Ivey, Jr.
Larry Sanders
Doug Rasheed
Stevie Wonder",Doug Rasheed,,
Be with You (Enrique Iglesias song),Enrique Iglesias,29 February 2000,"Dance-pop
house",3:40,Interscope,"Enrique Iglesias
Paul Barry
Mark Taylor","Mark Taylor
Brian Rawling",,
Leave the Door Open,Silk Sonic,"March 5, 2021","Philadelphia soul
R&B
pop",4:02,"Aftermath
Atlantic","Bruno Mars
Brandon Anderson
Dernst Emile II
Christopher Brody Brown","Bruno Mars
D'Mile",,
Abracadabra (Steve Miller Band song),Steve Miller Band,May 1982,Pop rockelectronic rockfunk rock,5:08,Capitol Mercury,Steve Miller,"Steve Miller
Gary Mallaber",,
Cherish (The Association song),the Association,August 1966,"Pop
soft rock",3:25,Valiant,Terry Kirkman,Curt Boettcher,,
Another One Bites the Dust,Queen,22 August 1980,"Funk rock
disco",3:35,"EMI 
Elektra",John Deacon,"Queen
Reinhold Mack",,
Vampire (Olivia Rodrigo song),Olivia Rodrigo,"June 30, 2023","Pop rock
pop",3:39,"Geffen
Interscope","Olivia Rodrigo
Dan Nigro",Dan Nigro,,
On My Own (Patti LaBelle and Michael McDonald song),"Patti LaBelle, Michael McDonald","February 23, 1986",Pop,4:50,MCA,"Burt Bacharach
Carole Bayer Sager","Burt Bacharach
Carole Bayer Sager",,
Stuck with You,Huey Lewis and the News,"July 21, 1986","New wave
doo-wop",4:29,Chrysalis,"Chris Hayes, Huey Lewis",Huey Lewis and the News,,
End of the Road (Boyz II Men song),Boyz II Men,"June 30, 1992",R&B,4:13,LaFaceAristaMotown,"Kenneth ""Babyface"" EdmondsAntonio ""L.A."" ReidDaryl Simmons","Kenneth ""Babyface"" EdmondsAntonio ""L.A."" ReidDaryl Simmons (co.)",,
Play That Funky Music,Wild Cherry,April 1976,"Funk rock
R&B",5:00,Epic,Rob Parissi,Rob Parissi,,
Rock Your Baby,George McCrae,May 1974,Disco,3:14,"TK
Jay Boy [4]","Harry Wayne Casey
Richard Finch","Harry Wayne Casey
Richard Finch",,
Say My Name,Destiny's Child,"October 14, 1999",R&Bpop,4:31,Columbia,Rodney JerkinsFred Jerkins IIILaShawn DanielsBeyoncé KnowlesLeToya LuckettKelly RowlandLaTavia Roberson,Rodney Jerkins,,
Brandy (Scott English song),Scott English,February 1972,"Folk rock
pop",,"Trojan, Horse, Fontana 
Janus","Scott English
Richard Kerr",,,
My Universe (song),"Coldplay, BTS",24 September 2021,"Synth-pop
pop rock",3:48,"Parlophone
Atlantic","Guy Berryman
Jonny Buckland
Will Champion
Chris Martin
Max Martin
Oscar Holter
Bill Rahko
RM
Suga
J-Hope","Max Martin
Oscar Holter
Bill Rahko",,
Careless Whisper,George Michael,20 July 1984,"Pop
soul
R&B
quiet storm",6:30,"Epic
Columbia
Sony","George Michael
Andrew Ridgeley","George Michael
Jerry Wexler (original)",,
Low (Flo Rida song),"Flo Rida, T-Pain","October 9, 2007",Crunk,3:50,"Atlantic
Poe Boy","Tramar Dillard
Faheem Najm
Montay Humphrey","DJ Montay
T-Pain",,
Smooth (Santana song),"Santana, Rob Thomas","June 15, 1999","Latin rock
alternative rock",4:55,"Arista
BMG",,Matt Serletic,Rob Thomas,"Itaal Shur
Rob Thomas"
Hold On to the Nights,Richard Marx,"May 3, 1988",Soft rock,5:12,EMI,Richard Marx,"Richard Marx, David Cole",,
Too Sweet,Hozier,22 March 2024,"Soul
pop rock",4:11,"Rubyworks
Island","Andrew Hozier-Byrne
Daniel Tannenbaum
Peter Gonzales
Sergiu Gherman
Stuart Johnson
Tyler Mehlenbacher
Daniel Krieger","Hozier
Bekon
Chakra
Sergiu Gherman
Peter Gonzales",,
All the Man That I Need,Linda Clifford,,,4:11,,"Michael Gore
Dean Pitchford",,,
Ebony and Ivory,"Paul McCartney, Stevie Wonder",29 March 1982,"Pop
soft rock",3:42,Parlophone/EMI Columbia,Paul McCartney,George Martin,,
"Bump, Bump, Bump","B2K, P. Diddy","October 23, 2002","R&B
hip hop",,"TUG
Epic","Robert Kelly
Varick Smith",R. Kelly,,
You're Makin' Me High,Toni Braxton,"May 13, 1996",R&B,4:27,"LaFace
Arista","Kenneth Edmonds
Bryce Wilson","Babyface
Bryce Wilson",,
Good Times (Chic song),Chic,"June 4, 1979","Funk
disco",8:08,Atlantic,"Bernard Edwards
Nile Rodgers","Bernard Edwards
Nile Rodgers",,
"I Like It (Cardi B, Bad Bunny and J Balvin song)","Cardi B, Bad Bunny, J Balvin","May 25, 2018",Latin traphip hop,4:13,Atlantic,"Belcalis Almanzar
Benito Ocasio
José Osorio
Tony Pabón
Marcos Masis
Jesus Nieves
Manny Rodriguez
Jorden Thorpe
Anthony White
Vincent Watson
Edgar Machuca
Xavier Vargas
Edgar Vargas
Benny Bonnilla","J. White Did It
Tainy
Craig Kallman
Invincible",,
That's the Way Love Goes (Janet Jackson song),Janet Jackson,"April 20, 1993",R&Bpopnew jack swingfunkdowntempotrip hop,4:24,Virgin,Janet JacksonJames Harris IIITerry Lewis,Jimmy Jam and Terry LewisJanet Jackson,,
Funkytown,Lipps Inc.,"March 11, 1980","Minneapolis sound
disco
funk
synth-pop
dance-pop",3:59,Casablanca,Steven Greenberg,Steven Greenberg,,
Hey Ya!,Outkast,"September 9, 2003",Popelectrofunkhip hopneo-soul,3:55,AristaBMG,André Benjamin,André 3000,,
Highest in the Room,Travis Scott,"October 4, 2019",Trap,2:55,"Cactus Jack
Grand Hustle
Epic","Jacques Webster II
Ozan Yildirim
Nik Frascona
Mike Dean","OZ
Nik D
Dean (co.)",,
"Oh, Pretty Woman","Roy Orbison, the Candy Men","August 15, 1964","Rock and roll, country",2:55,Monument,"Roy Orbison
Bill Dees",Fred Foster,,
Livin' la Vida Loca,Ricky Martin,"March 27, 1999","Latin pop
dance",4:03,Columbia,"Draco Rosa
Desmond Child",Desmond Child,,
Say It Right,Nelly Furtado,31 October 2006,R&B,3:43,"Geffen
Mosley","Nelly Furtado
Timbaland
Nate Hills","Timbaland
Danja",,
Chariots of Fire (instrumental),Vangelis,April 1981 December 1981,"Orchestral pop, film score, symphonic",3:32,Polydor,Vangelis,Vangelis,,
Cheerleader (Omi song),Omi,"2012 
2014","Reggae fusion (original version)
deep house (Felix Jaehn remix)",2:54,"Oufah
Ultra
Columbia","Omar Samuel Pasley
Clifton Dillon
Mark Bradford
Darren Moran
Ryan Dillon
Sly Dunbar","OMI
Clifton Dillon
Felix Jaehn",,
96 Tears,? and the Mysterians,August 1966,Garage rockpop rockpsychedelic rock,2:56,Pa-Go-GoCameo-Parkway,Rudy Martinez,Rudy Martinez,,
Woman in Love,Barbra Streisand,"August 16, 1980","Soft rock
post-disco",3:49,Columbia,"Barry Gibb
Robin Gibb",Gibb-Galuten-Richardson,,
I Feel Fine,the Beatles,23 November 1964,"Rock and roll
pop rock",2:25,"Capitol 
Parlophone",Lennon–McCartney,George Martin,,
Happy (Pharrell Williams song),Pharrell Williams,"November 21, 2013","Soul
neo soul
R&B",3:55,"Back Lot Music
i Am Other
Columbia",Pharrell Williams,Pharrell Williams,,
When Doves Cry,Prince,"May 16, 1984","Experimental pop
neo-psychedelia
soul
avant-pop
synth-pop
funk",3:47,Warner Bros.,Prince,Prince,,
Positions (song),Ariana Grande,"October 23, 2020","Pop
R&B",2:52,Republic,,"London on da Track
Tommy Brown
Mr. Franks","Ariana Grande
Nija Charles
Angelina Barrett","Brian Vincent Bates
Tommy Brown
Nija Charles
Steven Franks
London Holmes
James Jarvis"
