Title,Artist(s),Release Date,Genres,Length,Label,Songwriters,Producers
All Too Well,,"October 22, 2012 (2012-10-22)","Country, rock, soft rock",5:29,Big Machine,"Taylor Swift, Liz Rose","Taylor Swift, Nathan Chapman"
All You Need Is Love,,7 July 1967,"Pop, psychedelia",3:57,"Parlophone, , , Capitol",Lennon–McCartney,George Martin
Alley Oop (song),,May 1960,"Rock and roll, doo-wop, novelty",2:36,Lute 5905,Dallas Frazier,"Gary S. Paxton, Kim Fowley"
Alone (i-Ten song),,June 1983,"Rock, AOR",3:58,Epic,"Billy Steinberg, Tom Kelly","Keith Olsen, Steve Lukather"
Alone Again (Naturally),,18 February 1972 (UK) May 1972 (US),"Soft rock, pop",3:36,MAM,Gilbert O'Sullivan,Gordon Mills
Always (Atlantic Starr song),,May 1987,"R&B, pop",4:47 (album version)3:59 (single version),Warner Bros.,"David Lewis, Jonathan Lewis, Wayne Lewis","David Lewis, Wayne Lewis"
Always Be My Baby,,"February 20, 1996 (1996-02-20)","Pop, R&B",4:18,Columbia,,"Mariah Carey, Jermaine Dupri"
Always on Time,,"November 27, 2001 (2001-11-27)",,4:05,", Def Jam, 
, Murder Inc.,","Jeffrey Atkins, 7 Aurelius, Irving Lorenzo",Irv Gotti
Amanda (Boston song),,September 1986 (1986-09),Rock,,MCA,Tom Scholz,Tom Scholz
Amazed,,"March 22, 1999 (1999-03-22)",Country,4:00 (album version)4:29 (pop remix)4:22 (2023 version),BNA,"Marv Green, Chris Lindsey, Aimee Mayo","Dann Huff, Brian Tankersley (remix)"
American Pie (song),,"October 1971 (original)
November 1991 (re-release)",Folk rock,"8:42 (LP)
4:11 (single part 1)
4:31 (single part 2)",United Artists,Don McLean,Ed Freeman
American Woman,,March 1970 (1970-03),"Blues rock, hard rock, psychedelic rock",3:50 (single version)5:07 (album version),RCA Victor,"Burton Cummings, Garry Peterson, Jim Kale, Randy Bachman",Jack Richardson
L'amour est bleu,,1967,,2:59,,,
Angel (Shaggy song),,9 January 2001 (2001-01-09),,"3:55 (album version)
3:31 (radio edit)",MCA,"Steve Miller, Ahmet Ertegun, Eddie Curtis, Chip Taylor","Shaun ""Sting"" Pizzonia"
Angel of Mine,,29 September 1997 (1997-09-29),R&B,"4:21 (album version)
3:35 (single version)",", EMI, 
, 1st Avenue,","Rhett Lawrence, Travon Potts",Rhett Lawrence
Angie (song),,20 August 1973 (1973-08-20),"Soft rock, glam rock",4:33,Rolling Stones,Jagger–Richards,Jimmy Miller
Angie Baby,,"October 7, 1974","R&B, psychedelic pop",3:29,Capitol,Alan O'Day,Joe Wissert
Annie's Song,,June 1974,Country,2:58,RCA,John Denver,Milt Okun
Another Brick in the Wall,,30 November 1979,"Art rock, disco, protest song","8:28 (All three parts)
3:11 (Part 1)
3:59 (Part 2)
1:18 (Part 3)",", Harvest,  , 
, Columbia,  ,",Roger Waters,"Bob Ezrin, David Gilmour, James Guthrie, Roger Waters"
Another Brick in the Wall,,30 November 1979,"Art rock, disco, protest song","8:28 (All three parts)
3:11 (Part 1)
3:59 (Part 2)
1:18 (Part 3)",", Harvest,  , 
, Columbia,  ,",Roger Waters,"Bob Ezrin, David Gilmour, James Guthrie, Roger Waters"
Another Day in Paradise,,23 October 1989,Soft rock,"4:47 (single version)
5:22 (album version)",", Atlantic, 
, Virgin, 
, WEA,",Phil Collins,"Phil Collins, Hugh Padgham"
Another One Bites the Dust,,22 August 1980 (UK),"Funk rock, disco",3:35,", EMI,  , 
, Elektra,  ,",John Deacon,"Queen, Reinhold Mack"
Anti-Hero (song),,"October 21, 2022","Pop rock, synth-pop",3:20,Republic,"Taylor Swift, Jack Antonoff","Taylor Swift, Jack Antonoff"
Anything for You (Gloria Estefan and Miami Sound Machine song),,March 1988,Pop,"4:02 (single/video version)[2]
3:41 (album version)[3]
4:02 (Spanish version)
4:03 (English/Spanish version)",", Epic, 
, CBS Discos International,",Gloria M. Estefan,Emilio Estefan Jr.
Aquarius/Let the Sunshine In,,March 1969,"Psychedelic soul, sunshine pop, bubblegum pop","4:49 (album version)
3:50 (promo single edit)",Soul City,,Bones Howe
Are You Lonesome Tonight?,,1927,Traditional pop,3:10,Harmony Records,"Lou Handman, Roy Turk",
Arthur's Theme (Best That You Can Do),,"August 14, 1981","Pop, jazz pop",3:53,Warner Bros.,"Christopher Cross, Burt Bacharach, Carole Bayer Sager, Peter Allen",Michael Omartian
As It Was,,1 April 2022 (2022-04-01),"Synth-pop, new wave",2:47,", Erskine, 
, Columbia,","Harry Styles, Thomas Hull, Tyler Johnson","Kid Harpoon, Tyler Johnson"
At This Moment,,1981 (rerelease 1986),Blue-eyed soul,4:21 (Album version)3:31 (Single version),"Alfa,  , Rhino,",Billy Vera,Jeff Baxter
Babe (Styx song),,"September 14, 1979",Soft rock,4:01 (single version)4:25 (album version),A&M,Dennis DeYoung,"Dennis DeYoung, John Panozzo, Chuck Panozzo"
Baby Baby (Amy Grant song),,"January 18, 1991 (1991-01-18)","Pop, pop rock",3:57,A&M,"Keith Thomas, Amy Grant",Keith Thomas
Baby Boy (Beyoncé song),,"August 3, 2003 (2003-08-03)","Dancehall, R&B",4:04,", Columbia, 
, Music World,",,"Beyoncé, Scott Storch"
Baby Come Back (Player song),,"October 13, 1977 (1977-10-13)","Soft rock, blue-eyed soul","3:28 (single version)
4:15 (album version)",", RSO,  , 
, Philips,  ,","Peter Beckett, J.C. Crowley","Dennis Lambert, Brian Potter"
Baby Don't Forget My Number,,December 1988,Dance-pop,"4:10 (album version)
4:00 (single version)
4:28 (video version)",", Hansa, 
, Arista,","Frank Farian, Brad Howell",Frank Farian
Baby Don't Get Hooked on Me,,July 1972 (US),Country pop,3:06,Columbia,Mac Davis,Rick Hall
Baby Got Back,,"May 7, 1992 (1992-05-07)",Miami bass,4:21,"Def American, Reprise",Sir Mix-a-Lot,"Rick Rubin, [, a, ], Sir Mix-a-Lot"
Baby Love,,"September 17, 1964","Pop, rhythm and blues",2:34,Motown,"Holland–Dozier–Holland, [, 1, ]","Brian Holland, Lamont Dozier"
...Baby One More Time,,"September 29, 1998 (1998-09-29)","Teen pop, dance-pop",3:30,Jive,Max Martin,"Max Martin, Rami Yacoub"
"Baby, Come to Me (Patti Austin and James Ingram song)",,April 1982October 1982 (re-released),"Quiet storm, R&B, soft rock","3:31 (7"" single)  3:45 (LP version)",Qwest,Rod Temperton,Quincy Jones
"Baby, I Love Your Way/Freebird Medley",,August 1988,Freestyle,4:07,Epic,"Peter Frampton, Allen Collins, Ronnie Van Zant",Bob Rosenberg
Back in My Arms Again,,"April 15, 1965","Pop, rhythm and blues",2:52,Motown,Holland–Dozier–Holland,"Brian Holland, Lamont Dozier"
Bad (Michael Jackson song),,"September 7, 1987","Dance-pop, funk","4:07 (album version)
8:22 (extended dance mix)",Epic,Michael Jackson,"Quincy Jones, Michael Jackson (, co., )"
Bad and Boujee,,"October 28, 2016","Hip hop, trap","5:34 (single and video version)
5:43 (album version)
3:27 (radio edit)",", Quality Control, 
, 300, 
, Atlantic,","Quavious Keyate Marshall, Kiari Kendrell Cephus, Robert Mandell, Symere Bysil Woods, Leland Tyler Wayne","Metro Boomin, G Koop"
Bad Blood (Neil Sedaka song),,September 1975,Rock,3:09,"Rocket, /, MCA,  , Polydor,","Neil Sedaka, Phil Cody",Neil Sedaka
Bad Blood (Taylor Swift song),,"May 17, 2015",Pop,3:313:19 (remix),Big Machine,"Taylor Swift, Max Martin, Shellback, Kendrick Lamar, [, a, ]","Max Martin, Shellback, Ilya, [, a, ]"
Bad Day (Daniel Powter song),,"January 9, 2005 (2005-01-09)[a]","Pop, pop rock",3:55,Warner Bros.,Daniel Powter,"Mitchell Froom, Jeff Dawson"
Bad Girls (Donna Summer song),,"June 23, 1979 (1979-06-23)","Disco, rock, funk",4:55,Casablanca,"Donna Summer, Bruce Sudano, Joe ""Bean"" Esposito, Edward ""Eddie"" Hokenson","Giorgio Moroder, Pete Bellotte"
Bad Guy (Billie Eilish song),,"March 29, 2019 (2019-03-29)","Electropop, dance-pop, trap-pop",3:14,"Darkroom, Interscope","Billie Eilish, Finneas O'Connell",Finneas O'Connell
Bad Habit (Steve Lacy song),,"June 29, 2022 (2022-06-29)","R&B, bedroom pop, funk",3:52 (album version)2:45 (radio version),RCA,"Steve Lacy, Diana Gordon, John Kirby, Britanny Fousheé, Matthew Castellanos",Steve Lacy
Bad Medicine (song),,"September 12, 1988 (1988-09-12)",Glam metal,"5:16 (album version)
3:54 (single version)",Mercury,"Jon Bon Jovi, Richie Sambora, Desmond Child",Bruce Fairbairn
"Bad, Bad Leroy Brown",,"March 20, 1973",Boogie-woogie,3:02,"ABC, Vertigo,",Jim Croce,"Terry Cashman, Tommy West"
Bailamos,,18 June 1999 (1999-06-18) (Japan),Latin pop,3:38,", Fonovisa, 
, Universal,","Paul Barry, Mark Taylor","Mark Taylor, Brian Rawling"
The Ballad of the Green Berets,,January 1966,"Country, folk, pop, march",2:27,RCA Victor,"Robin Moore, Staff Sgt., Barry Sadler","Andy Wiswell, [, 2, ]"
La Bamba (song),,October 1958,"Rock and roll, chicano rock, rock en español",2:06,Del-Fi,"Traditional, adapted by Ritchie Valens",Bob Keane
Band on the Run (song),,1974,Rock,5:09 (album version)3:50 (radio edit),Apple,"Paul McCartney, Linda McCartney",Paul McCartney
A Bar Song (Tipsy),,"April 12, 2024 (2024-04-12)",Country,2:53,", American Dogwood, 
, Magnolia, 
, Empire, 
, Republic,","Collins Chibueze, Nevin Sastry, Sean Cook, Jerrell Jones, Mark Williams","Nevin Sastry, Sean Cook"
Batdance,,"June 8, 1989","Rock, funk, dance","4:06 (7-inch edit)
6:13 (album and 12-inch version)",Warner Bros.,Prince,Prince
The Battle of New Orleans,,"April 6, 1959","Country, novelty, march",2:33,Columbia,Jimmy Driftwood,Don Law
Be with You (Enrique Iglesias song),,29 February 2000 (2000-02-29),"Dance-pop, house",3:40,Interscope,"Enrique Iglesias, Paul Barry, Mark Taylor","Mark Taylor, Brian Rawling"
Beat It,,"February 14, 1983","Hard rock, dance-rock",4:18,Epic,Michael Jackson,"Quincy Jones, Michael Jackson"
Beautiful Girls (Sean Kingston song),,"May 26, 2007 (2007-05-26)","Pop, doo-wop, reggae",4:02 (album version)3:43 (radio edit),Epic,"Kisean Anderson, Johnathan Rotem, Jerome Leiber, Michael Stoller, Ben E. King, Peter Harrison","J. R. Rotem, Peter Harrison"
Because I Love You (The Postman Song),,"September 1, 1990",Pop,"5:05 (album version)
3:46 (radio edit)",", LMR, 
, RCA,",Warren Allen Brooks,Stevie B
Because You Loved Me,,19 February 1996 (1996-02-19),Pop,4:33,", Columbia, 
, Epic,",Diane Warren,David Foster
Before the Next Teardrop Falls (song),,January 1975,"Country pop, Tejano",2:33,", Crazy Cajun,  , 2002, 
, ABC-Dot,  , 17540,","Vivian Keith, Ben Peters",Huey P. Meaux
Believe (Cher song),,"October 19, 1998 (1998-10-19)","Eurodance, dance-pop, electropop, dance",3:59,Warner Bros.,"Brian Higgins, Stuart McLennen, Paul Barry, Steven Torch, Matthew Gray, Timothy Powell, Cher (uncredited)","Mark Taylor, Brian Rawling"
Ben (song),,"July 12, 1972","Pop, adult contemporary",2:44,Motown,"Don Black, Walter Scharf",The Corporation
Bennie and the Jets,,4 February 1974,"Glam rock, R&B",5:23,", MCA, 
, DJM,","Elton John, Bernie Taupin",Gus Dudgeon
Bent (song),,"April 17, 2000 (2000-04-17)",Rock,4:16,", Atlantic, 
, Lava, 
, Melisma,",Rob Thomas,Matt Serletic
Best of My Love (Eagles song),,"November 5, 1974","Soft rock, country rock",3:25 (single edit)4:34 (album version),Asylum,"Don Henley, Glenn Frey, JD Souther",Glyn Johns
Best of My Love (The Emotions song),,"June 9, 1977 (1977-06-09)","Disco, gospel, soul",3:42,Columbia,"Maurice White, Al McKay","Maurice White, Clarence McDonald"
Bette Davis Eyes,,"March 10, 1981","New wave, soft rock, synth-rock",3:48,EMI America,"Donna Weiss, ·, Jackie DeShannon",Val Garay
Big Bad John,,September 1961,"Country, talking blues",3:00,Columbia,Jimmy Dean,Don Law
Big Girls Don't Cry (Fergie song),,"May 22, 2007 (2007-05-22)",Pop,4:28,", A&M, 
, will.i.am, 
, Interscope,","Stacy Ferguson, Toby Gad",will.i.am
Big Girls Don't Cry (The Four Seasons song),,October 1962,"Rock and roll, pop, doo-wop",2:26,Vee-Jay,"Bob Crewe, Bob Gaudio",Bob Crewe
A Big Hunk o' Love,,"June 23, 1959 (1959-06-23)","Rock and roll, rockabilly",2:12,RCA Victor,"Aaron Schroeder, Sidney Wyche",Steve Sholes
Billie Jean,,"January 3, 1983","Post-disco, R&B, funk, dance-pop","4:57 (original album/European single version)[2]
4:52 (album reissue/US single version with early fade out)
6:21 (12-inch version)",Epic,Michael Jackson,"Quincy Jones, Michael Jackson"
"Bills, Bills, Bills",,"May 31, 1999 (1999-05-31)",R&B,4:15 (album version)3:58 (radio edit),Columbia,"Kevin Briggs, Kandi Burruss, Beyoncé Knowles, LeToya Luckett, Kelly Rowland","Kevin ""She'kspere"" Briggs"
Billy Don't Be a Hero,,April 1974,Pop,3:59 (album version)3:45 (radio edit),Mercury,"Mitch Murray, Peter Callander","Mitch Murray, Peter Callander"
Black and White (Pete Seeger song),,August 1972,Pop,3:51 (album)3:24 (single),Dunhill,"David I. Arkin, Earl Robinson",Richard Podolor
Black and Yellow,,"September 14, 2010",Hip hop,3:37,", Rostrum, 
, Atlantic,","Cameron Thomaz, Mikkel S. Eriksen, Tor Erik Hermansen",Stargate
Black Beatles,,2016,"Hip hop, trap",4:51[1],"EarDrummers, Interscope","Khalif Brown, Aaquil Brown, Radric Davis, Michael Williams",Mike WiLL Made It
Black Cat (song),,"August 28, 1990 (1990-08-28)","Hard rock, pop rock, dance-rock, glam metal",4:50,A&M,Janet Jackson,"Jellybean Johnson, Janet Jackson"
Black or White,,"November 11, 1991 (1991-11-11)","Pop rock, hip hop","4:16 (album version)
3:22 (single version)",Epic,"Michael Jackson, Bill Bottrell","Michael Jackson, Bill Bottrell"
Black Velvet (song),,July 1989 (Canada)December 1989 (U.S),"Country rock, blues rock",4:47 (album version)4:02 (single version),Atlantic,"David Tyson, Christopher Ward",David Tyson
Black Water (song),,"November 15, 1974","Roots rock, country rock, Southern rock, bluegrass",4:15,Warner Bros.,Patrick Simmons,Ted Templeman
Blame It on the Rain,,July 1989,Dance-pop,"4:19 (album version)
4:08 (single version)",", Hansa, 
, Arista,",Diane Warren,Frank Farian
Blank Space,,"November 10, 2014 (2014-11-10)",Electropop,3:52,Big Machine,"Taylor Swift, Max Martin, Shellback","Max Martin, Shellback"
Blaze of Glory (Jon Bon Jovi song),,"July 21, 1990","Hard rock, country rock","5:35
4:24 (edit)",Vertigo,Jon Bon Jovi,"Danny Kortchmar, Jon Bon Jovi"
Bleeding Love,,16 September 2007 (2007-09-16) (see release history),"Pop, R&B",4:22,", Syco Music, 
, J,","Jesse McCartney, Ryan Tedder",Ryan Tedder
Blinded by the Light,,February 1973 (1973-02),"Folk rock, boogie rock, R&B",5:06,Columbia,Bruce Springsteen,"Mike Appel, Jim Cretecos"
Blinding Lights,,"November 29, 2019 (2019-11-29)","Synth-pop, electropop, new wave, synthwave",3:22,", XO, 
, Republic,","Abel Tesfaye, Ahmad Balshe, Jason Quenneville, Max Martin, Oscar Holter","Max Martin, Oscar Holter, The Weeknd"
Blue Moon (1934 song),,,,,,,
Blue Velvet (song),,"September 21, 1951",Traditional pop,3:01,Columbia,"Bernie Wayne, Lee Morris",
Blurred Lines,,"March 27, 2013","R&B, pop, funk, hip hop, blue-eyed soul",4:25,", Star Trak, 
, Interscope,","Robin Thicke, Pharrell Williams, Clifford Harris Jr., Marvin Gaye, [, a, ]",Pharrell Williams
Bodak Yellow,,"June 16, 2017 (2017-06-16)","Hip hop, trap",3:43[3],", Atlantic, 
, KSR,","Belcalis Almánzar, Dieuson Octave, Klenord Raphael, Jorden Thorpe, Anthony White, Laquan Green","J. White Did It, Laquan Green"
Boogie Fever,,November 1975,"Disco, pop-soul, bubblegum pop",3:31,Capitol,"Freddie Perren, Kenneth St. Lewis",Freddie Perren
Boogie Oogie Oogie,,1978,"Disco, funk",5:37,Capitol,"Janice-Marie Johnson, Perry Kibble","Fonce Mizell, Larry Mizell"
Boom Boom Pow,,"February 22, 2009 (2009-02-22)","EDM, hip hop, electro","5:08 (album version)
4:12 (single version)
3:38 (radio edit)",Interscope,"William Adams, Allan Pineda, Jaime Gomez, Stacy Ferguson",will.i.am
Bootylicious,,"May 22, 2001 (2001-05-22)","R&B, pop, funk",3:28,Columbia,"Charlie Skilling, Beyoncé Knowles, Falonte Moore, Stevie Nicks","Rob Fusari, Beyoncé Knowles, Falonte Moore"
Born This Way (song),,"February 11, 2011 (2011-02-11)","Electropop, house",4:20,", Streamline, 
, KonLive, 
, Interscope,","Stefani Germanotta, Jeppe Laursen","Lady Gaga, Fernando Garibay, Jeppe Laursen, DJ White Shadow"
The Box (Roddy Ricch song),,"January 11, 2020","Hip hop, trap",3:16,", Atlantic, 
, Bird Vision,","Rodrick Moore, Jr., Samuel Gloade, Adarius Moragne, Aqeel Tate","30 Roc, Datboisqueeze, Zentachi"
The Boy Is Mine (Brandy and Monica song),,"May 4, 1998 (1998-05-04)",R&B,"4:54 (album version)
4:03 (radio version)",Atlantic,"LaShawn Daniels, Rodney Jerkins, Fred Jerkins III, Japhe Tejeda, Brandy Norwood","Darkchild, Brandy, Dallas Austin"
Brand New Key,,October 1971,"Folk, pop, soft rock",2:26,Neighborhood,Melanie Safka,Peter Schekeryk
Brandy (Scott English song),,February 1972,"Folk rock, pop",,", Trojan, , , Horse, , , Fontana,  , 
, Janus,  ,","Scott English, Richard Kerr",
Brandy (You're a Fine Girl),,"May 18, 1972","Soft rock, pop","3:10 (album mix version)
2:55 (single remix/edit)",Epic,Elliot Lurie,"Mike Gershman, Bob Liftin and the Looking Glass"
Break My Soul,,"June 20, 2022","Diva house, dance-pop","4:38 (album version)
3:55 (radio edit)",", Parkwood, 
, Columbia,","Beyoncé, Terius Nash, Christopher Stewart, Shawn Carter, Freddie Ross, Adam Pigott, G Syier Hawkins Brown, Allen George, Fred McFarlane","Beyoncé, The-Dream, Tricky Stewart, Jens Christian Isaksen"
Break Your Heart,,20 September 2009 (2009-09-20) (UK)2 February 2010 (2010-02-02) (US),"Dance-pop, electropop",3:23 (original version)3:05 (single version/remix with Ludacris),"Island, Mercury","Taio Cruz, Fraser T Smith, Chris Bridges, (remix)","Taio Cruz, Fraser T Smith"
Breaking Up Is Hard to Do,,June 1962,"Brill Building, doo-wop",2:18,RCA Victor,"Neil Sedaka, Howard Greenfield",
Bridge over Troubled Water (song),,"January 20, 1970 (1970-01-20)","Pop rock, ·, gospel, ·, soft rock",4:55,Columbia,Paul Simon,"Roy Halee, Paul Simon, Art Garfunkel"
Broken Wings (Mr. Mister song),,"June 6, 1985","Pop rock, new wave","5:42 (album version)
4:43 (radio/video edit)
4:30 (7"" edit)",RCA,"Richard Page, Steve George, John Lang","Mr. Mister, Paul De Villiers"
Brother Louie (Hot Chocolate song),,1973,,4:23,Rak,"Errol Brown, Tony Wilson",Mickie Most
Brown Sugar (Rolling Stones song),,16 April 1971 (1971-04-16),"Hard rock, rock and roll, blues rock, boogie rock",3:50,Rolling Stones,Jagger–Richards,Jimmy Miller
Bump n' Grind (R. Kelly song),,"January 28, 1994 (1994-01-28)",R&B,4:14,Jive,Robert Kelly,R. Kelly
"Bump, Bump, Bump",,"October 23, 2002","R&B, hip hop",,", TUG, 
, Epic,","Robert Kelly, Varick Smith",R. Kelly
Burn (Usher song),,"March 21, 2004 (2004-03-21)",R&B,4:15,Arista Nashville,"Jermaine Dupri, Bryan-Michael Cox, Usher","Jermaine Dupri, Bryan Michael Cox"
Butter (song),,"May 21, 2021 (2021-05-21)","Dance-pop, disco, -, pop, EDM",2:44,", Big Hit, 
, Sony Music,","Jenna Andrews, Rob Grimaldi, Stephen Kirk, RM, Alex Bilowitz, Sebastian Garcia, Ron Perry","Grimaldi, Kirk, Perry"
Butterfly (Crazy Town song),,"October 24, 2000",Rap rock,3:36,Columbia,,"Josh Abraham, Bret Mazur, [, 1, ]"
Buy U a Drank (Shawty Snappin'),,"February 20, 2007 (2007-02-20)","R&B, snap",3:48,", Nappy Boy, 
, Konvict, 
, Jive,","Faheem Najm, Jasiel Robinson",T-Pain
Calcutta (song),,December 1960,Easy listening,2:13,Dot,Heino Gaze,Artie Ripp
California Gurls,,"May 7, 2010 (2010-05-07)","Bubblegum pop, disco-pop, funk-pop",3:56,Capitol,"Katy Perry, Lukasz Gottwald, Max Martin, Benjamin Levin, Bonnie McKee, Calvin Broadus","Dr. Luke, Benny Blanco, Max Martin"
California Love,,"December 3, 1995 (1995-12-03)","West Coast hip hop, gangsta rap, G-funk","6:29 (original version)
6:26 (remix)",", Death Row, 
, Interscope,","Tupac Shakur, Andre Young, Roger Troutman, Larry Troutman, Mikel Hooks, Norman Durham, Ronald Hudson, Woody Cunningham, Joe Cocker, Chris Stainton, James Anderson, (uncredited), [, 4, ], [, 5, ]",Dr. Dre
Call Me (Blondie song),,"January 29, 1980 (US)","Dance-rock, punk rock, new wave, Eurodisco","2:15 (music video version)
3:32 (radio edit)
8:05 (album version)",", Polydor, 
, Chrysalis, 
, Salsoul,","Debbie Harry, Giorgio Moroder",Giorgio Moroder
Call Me Maybe,,"September 20, 2011 (2011
-09-20)","Pop, teen pop, dance-pop, bubblegum pop",3:13,", 604, 
, Schoolboy, 
, Interscope,","Carly Rae Jepsen, Josh Ramsay, Tavish Crowe",Josh Ramsay
Can't Buy Me Love,,"16 March 1964 (1964-03-16) (US)
20 March 1964 (UK)","Rock and roll, pop rock, R&B",2:11,"Parlophone,  , , Capitol,",Lennon–McCartney,George Martin
Can't Feel My Face,,"June 8, 2015 (2015-06-08)","Pop, disco, funk, electro",3:35,"XO, Republic","Ali Payami, Savan Kotecha, Max Martin, Abel Tesfaye, Peter Svensson","Max Martin, Ali Payami"
Can't Fight This Feeling,,"December 17, 1984","Soft rock, arena rock",4:54,Epic,Kevin Cronin,"Kevin Cronin, Gary Richrath, Alan Gratzer"
"Can't Get Enough of Your Love, Babe",,"June 28, 1974","Philadelphia soul, proto-disco","3:28 (single version)
4:04 (dance version)
4:31 (album version)",", Philips, 
, 20th Century Fox,",Barry White,Barry White
Can't Help Falling in Love,,"November 21, 1961","Pop, easy listening",2:59,RCA Victor,"Hugo Peretti, Luigi Creatore, George David Weiss, [, 2, ]","Elvis Presley (Joseph Lilley for Paramount Pictures), [, 3, ]"
Can't Hold Us,,"August 16, 2011
January 24, 2013 (re-release)","Industrial hip hop, pop rap, experimental pop","4:18 (album version)
3:35 (US radio edit)",", Macklemore LLC, 
, Elektra,","Ben Haggerty, Ryan Lewis, Ray Dalton",Ryan Lewis
Can't Nobody Hold Me Down,,"January 7, 1997",Hip hop,3:52,"Bad Boy, Arista","Mason Betha, [, 1, ]","Nashiem Myrick, Carlos Broady, Sean ""Puffy"" Combs, Stevie J"
Can't Stop the Feeling!,,"May 6, 2016 (2016-05-06)","Disco-pop, soul-pop",3:58,RCA,"Justin Timberlake, Max Martin, Shellback","Timberlake, Martin, Shellback"
Candle in the Wind 1997,,13 September 1997 (1997-09-13),Pop rock,"3:59 (""Something About the Way You Look Tonight"")
4:11 (""Candle in the Wind 1997"")",", Rocket, 
, A&M,","Elton John, Bernie Taupin",George Martin
The Candy Man,,1971,Musical,2:31,Paramount,"Leslie Bricusse, Anthony Newley",
