Date,Summary,Aircraft type,Operator,Passengers,Crew,Fatalities,Injuries,Survivors,Name,Year,Link,Location,Latitude,Longitude,Onboard,Death Rate,Injury Rate
7 April 1922,Mid-air collision in fog,,Compagnie des Grands Express Aériens (CGEA),3.0,2.0,7.0,,0.0,1922 Picardie mid-air collision,1922,https://en.wikipedia.org/wiki/1922_Picardie_mid-air_collision,Thieuloy-Saint-Antoine,49.63333,1.94694,5.0,1.4,0.0
13 January 1923 (1923-01-13),Ditching,Aeromarine 75,Aeromarine West Indies Airways,7.0,2.0,4.0,,5.0,Columbus,1923,https://en.wikipedia.org/wiki/1923_Aeromarine_75_Columbus_incident,Straits of Florida,24.9999154,-79.7499459,9.0,0.4444444444444444,0.0
27 August 1923 (1923-08-27),"Engine failure, passenger error, loss of control",Farman F.60 Goliath,Air Union,11.0,2.0,1.0,9.0,12.0,August 1923 Air Union Farman Goliath crash,1923,https://en.wikipedia.org/wiki/August_1923_Air_Union_Farman_Goliath_crash,East Malling,51.27111,0.42806,13.0,0.07692307692307693,0.6923076923076923
14 September 1923 (1923-09-14),"Pilot error, stall",de Havilland DH.34,Daimler Airway,3.0,2.0,5.0,,0.0,1923 Daimler Airway de Havilland DH.34 crash,1923,https://en.wikipedia.org/wiki/1923_Daimler_Airway_de_Havilland_DH.34_crash,Ivinghoe,51.836384,-0.626118,5.0,1.0,0.0
14 May 1923 (1923-05-14),Structural failure,Farman F.60 Goliath,Air Union,4.0,2.0,6.0,,0.0,May 1923 Air Union Farman Goliath crash,1923,https://en.wikipedia.org/wiki/May_1923_Air_Union_Farman_Goliath_crash,Monsures,49.71,2.1719,6.0,1.0,0.0
24 April 1924,,Fokker F.XXII,KLM,2.0,1.0,3.0,,0.0,1924 KLM Fokker F.III disappearance,1924,https://en.wikipedia.org/wiki/1924_KLM_Fokker_F.III_disappearance,English Channel,50.4924668,1.054682,3.0,1.0,0.0
24 December 1924,Undetermined,de Havilland DH.34,Imperial Airways,7.0,1.0,8.0,,0.0,1924 Imperial Airways de Havilland DH.34 crash,1924,https://en.wikipedia.org/wiki/1924_Imperial_Airways_de_Havilland_DH.34_crash,Purley,51.3470,-0.1057,8.0,1.0,0.0
25 June 1925,,Fokker F.III,KLM,3.0,1.0,4.0,,0.0,1925 KLM Fokker F.III Forêt de Mormal crash,1925,https://en.wikipedia.org/wiki/1925_KLM_Fokker_F.III_For%C3%AAt_de_Mormal_crash,Forêt de Mormal,50.2068779,3.7374578,4.0,1.0,0.0
2 October 1926,In-flight fire,Blériot 155,Air Union,5.0,2.0,7.0,0.0,0.0,October 1926 Air Union Blériot 155 crash,1926,https://en.wikipedia.org/wiki/October_1926_Air_Union_Bl%C3%A9riot_155_crash,"Leigh, Kent",51.21722,0.19694,7.0,1.0,0.0
18 August 1926,Crashed on landing,Blériot 155,Air Union,13.0,2.0,3.0,12.0,12.0,August 1926 Air Union Blériot 155 crash,1926,https://en.wikipedia.org/wiki/August_1926_Air_Union_Bl%C3%A9riot_155_crash,"Aldington, Kent",51.05833,0.95444,15.0,0.2,0.8
22 August 1927,Structural failure of tailfin,Fokker F.VIII,KLM,9.0,2.0,1.0,8.0,10.0,1927 KLM Fokker F.VIII crash,1927,https://en.wikipedia.org/wiki/1927_KLM_Fokker_F.VIII_crash,Underriver,51.2472721,0.2285846,11.0,0.09090909090909091,0.7272727272727273
24 July 1928,,Fokker F.XXII,KLM,,,1.0,,5.0,1928 KLM Fokker F.III Waalhaven crash,1928,https://en.wikipedia.org/wiki/1928_KLM_Fokker_F.III_Waalhaven_crash,Waalhaven,51.8921899,4.4406806,0.0,0.0,0.0
"December 3, 1928; 95 years ago (1928-12-03)",Pilot error,,Syndicato Condor,9.0,5.0,14.0,0.0,0.0,1928 Dornier J Santos Dumont crash,1928,https://en.wikipedia.org/wiki/1928_Dornier_J_Santos_Dumont_crash,Guanabara Bay,-22.81690235,-43.127220112581526,14.0,1.0,0.0
13 July 1928,,Vickers Vulcan,Imperial Airways,5.0,1.0,4.0,,2.0,1928 Imperial Airways Vickers Vulcan crash,1928,https://en.wikipedia.org/wiki/1928_Imperial_Airways_Vickers_Vulcan_crash,Purley,51.332149,-0.118188,6.0,0.6666666666666666,0.0
10 January 1928 (1928-01-10),disappearance,Ryan B-1 Brougham,,0.0,2.0,,,,Moncrieff and Hood disappearance,1928,https://en.wikipedia.org/wiki/Moncrieff_and_Hood_disappearance,Tasman Sea,-40.0,160.0,2.0,0.0,0.0
17 June 1929,"Engine failure, ditching at sea",Handley Page W.10,Imperial Airways,11.0,2.0,7.0,6.0,6.0,1929 Imperial Airways Handley Page W.10 crash,1929,https://en.wikipedia.org/wiki/1929_Imperial_Airways_Handley_Page_W.10_crash,English Channel,50.75000,1.11667,13.0,0.5384615384615384,0.46153846153846156
6 September 1929 (1929-09-06),"Pilot error, stall, loss of control",de Havilland DH.66 Hercules,Imperial Airways,1.0,4.0,3.0,2.0,2.0,Jask Imperial Airways de Havilland Hercules crash,1929,https://en.wikipedia.org/wiki/1929_Jask_Imperial_Airways_de_Havilland_Hercules_crash,,25.65361,57.79917,5.0,0.6,0.4
6 November 1929,CFIT,Junkers G 24bi,Luft Hansa,4.0,4.0,7.0,1.0,1.0,1929 Luft Hansa Junkers G 24 crash,1929,https://en.wikipedia.org/wiki/1929_Luft_Hansa_Junkers_G_24_crash,Godstone,51.248351,-0.068482,8.0,0.875,0.125
10 February 1930,Loss of control following structural failure of tailplane.,Farman F.63 Goliath,Air Union,3.0,3.0,2.0,4.0,4.0,1930 Air Union Farman Goliath crash,1930,https://en.wikipedia.org/wiki/1930_Air_Union_Farman_Goliath_crash,Marden Airfield,51.167,0.517,6.0,0.3333333333333333,0.6666666666666666
21 July 1930,Mechanical failure of tailplane,Junkers F.13ge,Walcot Air Line,4.0,2.0,6.0,,0.0,Meopham air disaster,1930,https://en.wikipedia.org/wiki/Meopham_air_disaster,Meopham,51.360162900000006,0.3639095281289543,6.0,1.0,0.0
21 March 1931,Severe weather,Avro 618 Ten (license-built Fokker F-VIIB/3m),Australian National Airways,6.0,2.0,8.0,0.0,0.0,1931 Avro Ten Southern Cloud disappearance,1931,https://en.wikipedia.org/wiki/1931_Avro_Ten_Southern_Cloud_disappearance,Snowy Mountains,-35.999450,148.329583,8.0,1.0,0.0
15 May 1932 (1932-05-15)–6 July 1932 (1932-07-06),,Junkers W 33,,,2.0,0.0,,2.0,1932 Kimberley rescue,1932,https://en.wikipedia.org/wiki/1932_Kimberley_rescue,Cape St Lambert,-14.333667,127.779278,2.0,0.0,0.0
28 March 1933,"Fire, suspected sabotage",Armstrong Whitworth Argosy II,Imperial Airways,12.0,3.0,15.0,,0.0,City of Liverpool,1933,https://en.wikipedia.org/wiki/1933_Imperial_Airways_Diksmuide_crash,Diksmuide,51.0333,2.8667,15.0,1.0,0.0
30 December 1933,Pilot error (CFIT),Avro Ten,Imperial Airways,8.0,2.0,10.0,,0.0,1933 Imperial Airways Ruysselede crash,1933,https://en.wikipedia.org/wiki/1933_Imperial_Airways_Ruysselede_crash,Ruysselede,51.0783278,3.3348444,10.0,1.0,0.0
20 December 1934,,Douglas DC-2,KLM,3.0,4.0,7.0,,0.0,1934 KLM Douglas DC-2 crash,1934,https://en.wikipedia.org/wiki/1934_KLM_Douglas_DC-2_crash,Rutbah Wells,,,7.0,1.0,0.0
9 May 1934,Controlled flight into terrain,Wibault 282T-12,Air France,3.0,3.0,6.0,,0.0,1934 Air France Wibault 282T crash,1934,https://en.wikipedia.org/wiki/1934_Air_France_Wibault_282T_crash,English Channel,50.4924668,1.054682,6.0,1.0,0.0
2 October 1934,CFIT (pilot error),De Havilland DH. 89A Dragon Rapide,Hillman's Airways,6.0,1.0,7.0,,0.0,1934 Hillman's Airways de Havilland Dragon Rapide crash,1934,https://en.wikipedia.org/wiki/1934_Hillman%27s_Airways_de_Havilland_Dragon_Rapide_crash,Folkestone,51.0791335,1.1794073,7.0,1.0,0.0
29 September 1934.,Pilot error (loss of control due to disorientation in cloud),Airspeed Courier.,"London, Scottish & Provincial Airways Ltd.",3.0,1.0,4.0,2.0,0.0,"1934 London, Scottish & Provincial Airways Airspeed Courier crash",1934,"https://en.wikipedia.org/wiki/1934_London,_Scottish_%26_Provincial_Airways_Airspeed_Courier_crash","Shoreham, Kent",51.3336903,0.1788722,4.0,1.0,0.5
"January 30, 1934 (1934-01-30)",Catastrophic loss of buoyancy,Experimental high-altitude balloon,Osoaviakhim,,3.0,,,0.0,Osoaviakhim-1,1934,https://en.wikipedia.org/wiki/Osoaviakhim-1,Insarsky District,53.867,44.367,3.0,0.0,0.0
27 July 1934 (1934-07-27),In-flight wing separation in severe weather conditions,Curtiss AT-32C Condor II,Swissair,9.0,3.0,12.0,,0.0,1934 Swissair Tuttlingen accident,1934,https://en.wikipedia.org/wiki/1934_Swissair_Tuttlingen_accident,Tuttlingen,48.018639,8.796472,12.0,1.0,0.0
14 July 1935,"Fuel system defect, double engine failure",Fokker F.XXII,KLM,15.0,5.0,6.0,5.0,14.0,1935 Amsterdam Fokker F.XXII crash,1935,https://en.wikipedia.org/wiki/1935_Amsterdam_Fokker_F.XXII_crash,,,,20.0,0.3,0.25
16 July 1935,,Douglas DC-2,KLM,8.0,4.0,0.0,,12.0,1935 KLM Bushehr accident,1935,https://en.wikipedia.org/wiki/1935_KLM_Bushehr_incident,Bushehr,28.8936645,51.3204877,12.0,0.0,0.0
20 July 1935,,Douglas DC-2,KLM,9.0,4.0,13.0,,0.0,1935 San Giacomo Douglas DC-2 crash,1935,https://en.wikipedia.org/wiki/1935_San_Giacomo_Douglas_DC-2_crash,Pian San Giacomo,46.4203657,9.2269445,13.0,1.0,0.0
"June 24, 1935 (1935-06-24)",Runway excursion and collision following a loss of control,,Servicio Aéreo Colombiano - SACO,11.0,2.0,17.0,,3.0,Medellin plane crash of 1935,1935,https://en.wikipedia.org/wiki/Medellin_plane_crash_of_1935,Medellín-Enrique,6.2663727,-75.5448641,13.0,1.3076923076923077,0.0
"January 14, 1936 (1936-01-14)",Undetermined[1],Douglas DC-2-120,American Airlines,14.0,3.0,17.0,,0.0,American Airlines Flight 1,1936,https://en.wikipedia.org/wiki/American_Airlines_Flight_1_(1936),"Goodwin, Arkansas",34.966972,-91.022333,17.0,1.0,0.0
16 June 1936,Controlled flight into terrain,Junkers Ju 52,Norwegian Air Lines,3.0,4.0,7.0,,0.0,Havørn Accident,1936,https://en.wikipedia.org/wiki/Hav%C3%B8rn_Accident,Lihesten,61.1569,5.1639,7.0,1.0,0.0
31 July 1936,Ditching due to engine failure,Saro Cloud,Guernsey Airways,8.0,2.0,10.0,,0.0,1936 Jersey Air Disaster,1936,https://en.wikipedia.org/wiki/1936_Jersey_Air_Disaster,,,,10.0,1.0,0.0
9 December 1936,Crash on take-off,Douglas DC-2-115E,KLM Royal Dutch Airlines,13.0,4.0,15.0,2.0,2.0,1936 KLM Croydon accident,1936,https://en.wikipedia.org/wiki/1936_KLM_Croydon_accident,Croydon,51.34583,-0.12250,17.0,0.8823529411764706,0.11764705882352941
16 November 1937,Controlled flight into terrain in poor weather,Junkers Ju 52/3m,Sabena,9.0,3.0,12.0,0.0,0.0,Sabena Junkers Ju 52 Ostend crash,1937,https://en.wikipedia.org/wiki/1937_Sabena_Junkers_Ju_52_Ostend_crash,,51.2009500,2.8920611,12.0,1.0,0.0
19 February 1937,Controlled flight into terrain,Stinson Model A,Airlines of Australia,5.0,2.0,5.0,2.0,3.0,Stinson Model A City of Brisbane crash,1937,https://en.wikipedia.org/wiki/1937_Airlines_of_Australia_Stinson_crash,Lamington National Park,-28.309156,153.117789,7.0,0.7142857142857143,0.2857142857142857
24 July 1938 (1938-07-24),Pilot error,Curtiss Hawk II,Colombian Air Force,,1.0,53.0,100.0,,1938 Santa Ana air show disaster,1938,https://en.wikipedia.org/wiki/1938_Santa_Ana_air_show_disaster,,4.68528,-74.03750,1.0,53.0,100.0
4 September 1938,,Hawker Audax,Royal Air Force,0.0,1.0,13.0,17.0,0.0,Edmonton air crash,1938,https://en.wikipedia.org/wiki/Edmonton_air_crash,"Edmonton, London",51.6222333,-0.0689222,1.0,13.0,17.0
"July 28, 1938",Disappearance,Martin M-130,Pan American Airways,6.0,9.0,15.0,0.0,0.0,Hawaii Clipper,1938,https://en.wikipedia.org/wiki/Hawaii_Clipper,Pacific Ocean,12.27000,130.40000,15.0,1.0,0.0
4 November 1938,Pilot error,de Havilland D.H.86,Jersey Airways,12.0,1.0,14.0,,0.0,1938 Jersey Airport disaster,1938,https://en.wikipedia.org/wiki/1938_Jersey_Airport_disaster,Jersey Airport,49.2066455,-2.198538438744582,13.0,1.0769230769230769,0.0
"August 24, 1938 (1938-08-24)",Strafing on the ground,Douglas DC-2,China National Aviation Corporation,14.0,3.0,14.0,1.0,3.0,,1938,https://en.wikipedia.org/wiki/Kweilin_incident,Zhongshan,22.517,113.393,17.0,0.8235294117647058,0.058823529411764705
25 October 1938 (1938-10-25),"Poor visibility, pilot error",Douglas DC-2-210,Australian National Airways,14.0,4.0,18.0,0.0,0.0,1938 Kyeema crash,1938,https://en.wikipedia.org/wiki/1938_Kyeema_crash,Mount Dandenong,-37.833,145.349,18.0,1.0,0.0
"August 13, 1939 (1939-08-13)",Engine failure resulting in a loss of control,Sikorsky S-43B,Pan Am,12.0,4.0,14.0,,2.0,Seaplane Baby Clipper NC 16933 Crash,1939,https://en.wikipedia.org/wiki/1939_Pan_Am_Sikorsky_S-43_crash,Guanabara Bay,-22.8940528,-43.1643139,16.0,0.875,0.0
21 January 1939,Ditched due to engine icing and sank in heavy seas,Short S.23 Empire,Imperial Airways,8.0,5.0,3.0,10.0,10.0,1939 Imperial Airways flying boat ditching,1939,https://en.wikipedia.org/wiki/1939_Imperial_Airways_flying_boat_ditching,,,,13.0,0.23076923076923078,0.7692307692307693
13 August 1940,Stall on landing,Lockheed Hudson,Royal Australian Air Force,6.0,4.0,10.0,0.0,0.0,1940 Canberra air disaster,1940,https://en.wikipedia.org/wiki/1940_Canberra_air_disaster,Canberra,-35.3184,149.2293,10.0,1.0,0.0
29 September 1940,Mid-air collision,,No. 2 Service Flying Training School RAAF,,2.0,0.0,1.0,4.0,1940 Brocklesby mid-air collision,1940,https://en.wikipedia.org/wiki/1940_Brocklesby_mid-air_collision,Brocklesby,-35.85333,146.63583,2.0,0.0,0.5
"November 8, 1940 (1940-11-08)",Tail icing,Junkers Ju 90A-1,Deutsche Lufthansa,23.0,6.0,29.0,,0.0,1940 Deutsche Lufthansa Ju 90 crash,1940,https://en.wikipedia.org/wiki/1940_Deutsche_Lufthansa_Ju_90_crash,Schönteichen,51.30068355,14.033971611277206,29.0,1.0,0.0
14 June 1940,Airliner shootdown,Junkers Ju 52-3/mge,Aero O/Y,7.0,2.0,9.0,,0.0,Aero Flight 1631,1940,https://en.wikipedia.org/wiki/Kaleva_(airplane),Keri Lighthouse,59.78361,25.01833,9.0,1.0,0.0
"August 24, 1938 (1938-08-24)",Strafing on the ground,Douglas DC-2,China National Aviation Corporation,14.0,3.0,14.0,1.0,3.0,,1940,https://en.wikipedia.org/wiki/Kweilin_incident,Zhongshan,22.517,113.393,17.0,0.8235294117647058,0.058823529411764705
"16.15, Sunday 7 June 1942[1]",,Handley Page Halifax,TFU,4.0,7.0,11.0,,0.0,1942 Herefordshire TRE Halifax crash,1942,https://en.wikipedia.org/wiki/1942_Herefordshire_TRE_Halifax_crash,Welsh Bicknor,51.8522,-2.5874,11.0,1.0,0.0
25 August 1942,Controlled flight into terrain,Short Sunderland Mk. III,"No. 18 Group, Royal Air Force",4.0,11.0,14.0,1.0,1.0,Dunbeath air crash,1942,https://en.wikipedia.org/wiki/Dunbeath_air_crash,Dunbeath,58.2363017,-3.5088967,15.0,0.9333333333333333,0.06666666666666667
3 March 1942,Shootdown,Douglas DC-3-194,KNILM,8.0,4.0,4.0,,8.0,1942 KNILM Douglas DC-3 shootdown,1942,https://en.wikipedia.org/wiki/1942_KNILM_Douglas_DC-3_shootdown,Carnot Bay,-17.11667,122.25556,12.0,0.3333333333333333,0.0
4 May 1942,Navigation error,3x Bristol Blenheim Mark IV,,,12.0,11.0,,1.0,Kufra multiple aircraft crew loss,1942,https://en.wikipedia.org/wiki/Tragedy_at_Kufra,Kufra,24.85000,24.41667,12.0,0.9166666666666666,0.0
"16 August 1942 (1942-08-16);81 years, 3 months ago","Cause unknown, aircraft recovered",L-class blimp, United States Navy,0.0,2.0,2.0,,0.0,L-8,1942,https://en.wikipedia.org/wiki/L-8,San Francisco,37.7790262,-122.419906,2.0,1.0,0.0
2 December 1942,fuel exhaustion,Consolidated B-24 Liberator,,,10.0,7.0,,3.0,"""Little Eva""",1942,https://en.wikipedia.org/wiki/Little_Eva_(aircraft),Gulf of Carpentaria,-17.33361,139.00083,10.0,0.7,0.0
30 January 1942,Shootdown,Short Empire S.23,Qantas,,,13.0,,5.0,1942 Qantas Short Empire shootdown,1942,https://en.wikipedia.org/wiki/1942_Qantas_Short_Empire_shootdown,West Timor,-36.957072499999995,143.6731883203767,0.0,0.0,0.0
18 October 1942,,Vickers Wellington 1C,No. 311 Squadron RAF,9.0,6.0,21.0,,0.0,1942 Ruislip Wellington accident,1942,https://en.wikipedia.org/wiki/1942_Ruislip_Wellington_accident,Ruislip,51.5775626,-0.4278453,15.0,1.4,0.0
21 November 1943 (1943-11-21),CFIT (controlled flight into terrain),Douglas C-47A,United States Army Air Forces,5.0,4.0,7.0,2.0,2.0,1943 Douglas C-47 crash,1943,https://en.wikipedia.org/wiki/List_of_accidents_and_incidents_involving_military_aircraft_(1943%E2%80%931944),"Mahanoy Township, Schuylkill County, Pennsylvania",40.8215964,-76.13312354355853,9.0,0.7777777777777778,0.2222222222222222
19 May 1943,Engine failure,Lockheed Hudson IIIA, Royal Air Force,,9.0,2.0,,7.0,1943 RAF Hudson crash,1943,https://en.wikipedia.org/wiki/1943_RAF_Hudson_crash,,50.4100778,-4.9436417,9.0,0.2222222222222222,0.0
20 October 1943 (1943-10-20),CFIT (controlled flight into terrain),Consolidated Liberator III,Royal Canadian Air Force No. 10 Squadron RCAF,20.0,4.0,24.0,0.0,0.0,1943 Saint-Donat Liberator III crash,1943,https://en.wikipedia.org/wiki/1943_Saint-Donat_RCAF_Liberator_III_crash,"Saint-Donat, Lanaudière, Quebec, Canada",46.25083,-74.296750,24.0,1.0,0.0
14 June 1943,Crashed on take-off; cause unknown,Boeing B-17 Flying Fortress,United States Army Air Forces,35.0,6.0,40.0,1.0,1.0,USAAF B-17C 40-2072,1943,https://en.wikipedia.org/wiki/Bakers_Creek_air_crash,"Bakers Creek, Queensland",-21.22000,149.14700,41.0,0.975609756097561,0.024390243902439025
1 June 1943,"Attacked by eight German Junkers Ju 88 bombers of KG 40, crashed into the sea",Douglas DC-3-194,British Overseas Airways Corporation (aircraft owned and operated by KLM),13.0,4.0,17.0,,0.0,BOAC Flight 777A,1943,https://en.wikipedia.org/wiki/BOAC_Flight_777,Bay of Biscay,46.11667,-10.25000,17.0,1.0,0.0
20 December 1943 (1943-12-20),Fighter pursuit of bomber,,United States Army Air Forces (USAAF),,10.0,1.0,,9.0,Charlie Brown and Franz Stigler incident,1943,https://en.wikipedia.org/wiki/Charlie_Brown_and_Franz_Stigler_incident,Germany,40.4203479,-79.1166983,10.0,0.1,0.0
4 July 1943 (1943-07-04),Crashed on take-off due to control jam,Consolidated B-24 Liberator,Royal Air Force 511 Squadron,11.0,6.0,16.0,1.0,1.0,1943 Gibraltar B-24 crash,1943,https://en.wikipedia.org/wiki/1943_Gibraltar_Liberator_AL523_crash,Gibraltar Airport,36.15250,-5.33000,17.0,0.9411764705882353,0.058823529411764705
"April 4, 1943",Navigation error,B-24D Liberator,United States Army Air Forces,,9.0,9.0,,,Lady Be Good,1943,https://en.wikipedia.org/wiki/Lady_Be_Good_(aircraft),,26.712694,24.02417,9.0,1.0,0.0
2 August 1943,Controlled flight into terrain (CFIT),Consolidated C-87 Liberator Express,United Airlines,25.0,5.0,16.0,,14.0,1943 Liberator crash at Whenuapai,1943,https://en.wikipedia.org/wiki/1943_Liberator_crash_at_Whenuapai,New Zealand,-36.7764056,174.6453194,30.0,0.5333333333333333,0.0
21 November 1943 (1943-11-21),CFIT (controlled flight into terrain),Douglas C-47A,United States Army Air Forces,5.0,4.0,7.0,2.0,2.0,1943 Douglas C-47 crash,1944,https://en.wikipedia.org/wiki/List_of_accidents_and_incidents_involving_military_aircraft_(1943%E2%80%931944),"Mahanoy Township, Schuylkill County, Pennsylvania",40.8215964,-76.13312354355853,9.0,0.7777777777777778,0.2222222222222222
"August 29, 1944 (1944-08-29)",Allied bomber shot down by German night fighter,,"RAF No. 8 (Pathfinder Force) Group,No. 582 Squadron",,7.0,7.0,,0.0,1944 Ålvand RAF Lancaster crash,1944,https://en.wikipedia.org/wiki/1944_%C3%85lvand_RAF_Lancaster_crash,Vorupør,56.9442250,8.4182722,7.0,1.0,0.0
23 August 1944 (1944-08-23),Loss of control. Precise cause unknown,Consolidated B-24H Liberator,US Army Air Force,0.0,3.0,61.0,0.0,0.0,Freckleton Air Disaster,1944,https://en.wikipedia.org/wiki/Freckleton_air_disaster,Freckleton,53.75472,-2.86585,3.0,20.333333333333332,0.0
"May 13, 1945",Flight into terrain,Douglas C-47 Skytrain,United States Army Air Corps,19.0,5.0,22.0,3.0,3.0,C-47A Gremlin Special crash,1945,https://en.wikipedia.org/wiki/1945_New_Guinea_Gremlin_Special_rescue,Baliem Valley,-4.2141727,139.0349435,24.0,0.9166666666666666,0.125
"October 12, 1945 (1945-10-12)",Struck radio antenna on approach in poor weather conditions,Curtiss C-46F-1-CU Commando,USAAF,55.0,4.0,59.0,0.0,0.0,1945 Peip'ing C-46 crash,1945,https://en.wikipedia.org/wiki/1945_Peip%27ing_C-46_crash,Peip'ing,39.8631333,116.1147278,59.0,1.0,0.0
31 January 1945,Fatigue failure of wing structure,Stinson Model A (modified),,8.0,2.0,10.0,,0.0,1945 Australian National Airways Stinson crash,1945,https://en.wikipedia.org/wiki/1945_Australian_National_Airways_Stinson_crash,"Spring Plains, Victoria",-37.0200,144.5663,10.0,1.0,0.0
4 October 1945 (1945-10-04),Disappearance,Avro Lancaster Mk.I,No. 103 Squadron RAF,19.0,6.0,25.0,0.0,0.0,Avro Lancaster PA278 disappearance,1945,https://en.wikipedia.org/wiki/Avro_Lancaster_PA278_disappearance,Mediterranean Sea,35.0000035,19.9999957,25.0,1.0,0.0
1 February 1945 (1945-02-01) at 17:15Z,Ditched due to lack of fuel,Avro York,No. 511 Squadron RAF,11.0,4.0,15.0,,0.0,1945 Avro York crash,1945,https://en.wikipedia.org/wiki/1945_Avro_York_crash,Mediterranean Sea,35.50000,12.58333,15.0,1.0,0.0
22 November 1945 (1945-11-22),Pilot error,Consolidated Liberator C Mk VIII,"53 Squadron, Royal Air Force",22.0,5.0,27.0,0.0,0.0,1945 Devon Consolidated Liberator crash,1945,https://en.wikipedia.org/wiki/1945_Broadway_Consolidated_Liberator_crash,Broadway Pound,50.9614,-2.9333,27.0,1.0,0.0
5 October 1945,Fuel leak leading to engine fire,Consolidated Liberator GR.VI,RAF Transport Command,18.0,5.0,23.0,,0.0,Elvetham air crash,1945,https://en.wikipedia.org/wiki/Elvetham_air_crash,Hampshire,51.3009444,-0.8852694,23.0,1.0,0.0
"December 5, 1945",Disappearance,Grumman TBM Avenger, United States Navy,,14.0,14.0,,,Disappearance of Flight 19,1945,https://en.wikipedia.org/wiki/Flight_19,,,,14.0,1.0,0.0
23 April 1945 (1945-04-23),Controlled flight into terrain,Boeing B-17G Flying Fortress,"534th Bombardment Squadron, Eighth Air Force, United States Army Air Forces",29.0,2.0,31.0,,0.0,,1945,https://en.wikipedia.org/wiki/USAAF_Boeing_B-17_crash_on_North_Barrule,North Barrule,54.28861,-4.39417,31.0,1.0,0.0
7 October 1946,,Fairey Firefly,Netherlands Naval Aviation Service,,1.0,23.0,4.0,,1946 Apeldoorn aircraft crash,1946,https://en.wikipedia.org/wiki/1946_Apeldoorn_aircraft_crash,Apeldoorn,52.17957375,5.930077460807249,1.0,23.0,4.0
19 December 1946 (1946-12-19),Failure to climb due to snow and ice contamination of the wings,Douglas Dakota 3,Railway Air Services,1.0,4.0,,,5.0,1946 Railway Air Services Dakota crash,1946,https://en.wikipedia.org/wiki/1946_Railway_Air_Services_Dakota_crash,Northolt Aerodrome,51.5596556,-0.3974389,5.0,0.0,0.0
8 April 1946 (1946-04-08),"Controlled flight into terrain, collision with mountain",DC-3,United States Army Air Forces,13.0,4.0,17.0,,0.0,C-47B-1-DL,1946,https://en.wikipedia.org/wiki/1946_United_States_Air_Force_C-47_Crash_at_Yan%27an,"Xing County, Shanxi, China",38.375756,111.072678,17.0,1.0,0.0
